"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",11604
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",11823528
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",4971819
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",428521
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",88.00000000000001
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",322.99999999999994
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",61381
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31513,"Coconut Oil",20903
4,"Foodstuffs",417,"Sugars and sugar confectionery",41704,"Confectionery Sugar",5857
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",961379
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",71
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42206,"Other Fermented Beverages",63093
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",121
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",1351
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",27.999999999999996
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic Alcohols",35794.00000000001
6,"Chemical Products",629,"Organic chemicals",62909,"Ethers",24
6,"Chemical Products",629,"Organic chemicals",62914,"Ketones and Quinones",79436
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",1510
6,"Chemical Products",630,"Pharmaceutical products",63002,"Blood, antisera, vaccines, toxins and cultures",314
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",932
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",85468
6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63506,"Glues",3881.9999999999995
6,"Chemical Products",637,"Photographic or cinematographic goods",63707,"Photographic Chemicals",145
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",120
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73917,"Plastic Pipes",295
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73924,"Plastic Housewares",1089
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73925,"Plastic Building Materials",1666
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73926,"Other Plastic Products",9460
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74009,"Rubber Pipes",1995
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74011,"Rubber Tires",44527
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74012,"Used Rubber Tires",382
8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84202,"Trunks and Cases",4660
8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84203,"Leather Apparel",1607
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94416,"Wood Barrels",1821.9999999999998
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94419,"Wood Kitchenware",5270
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94420,"Wood Ornaments",1315.9999999999998
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104811,"Cellulose Fibers Paper",53606
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104818,"Toilet Paper",796.9999999999999
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104901,"Brochures",2006.0000000000005
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104902,"Newspapers",87
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104907,"Postage Stamps",223.99999999999997
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104909,"Postcards",6
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104911,"Other Printed Material",55
11,"Textiles",1155,"Man-made staple fibres",115513,"Light Synthetic Cotton Fabrics",115
11,"Textiles",1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",115603,"Non-woven Textiles",16880
11,"Textiles",1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",115607,"Twine and Rope",5827.999999999999
11,"Textiles",1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",115608,"Netting",6024
11,"Textiles",1158,"Woven fabrics",115807,"Labels",106
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116104,"Knit Women's Suits",16044.999999999998
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116106,"Knit Women's Shirts",134
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116107,"Knit Men's Undergarments",493
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116108,"Knit Women's Undergarments",10700
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116109,"Knit T-shirts",43
