"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10105,"Poultry",2261
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",225287
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",1446258
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",604989
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1332284
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",142604
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",2093855
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",3200
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",105446.99999999999
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",1087
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",131623
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",112240
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",8574
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",344434
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",103750
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1078236
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",648135
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",226580
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",6703
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",501187
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",742255
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",633393
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",1377
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",40214
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",6250
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",532.9999999999999
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",100.99999999999999
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",8382
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",238.00000000000003
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",12337
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",224313
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",68443
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",179611
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",201213.00000000003
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",18864
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",74707
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",221
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",6826
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",206944
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",181595
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",938
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",53984
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",4804
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",4221
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",16755
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",12106
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",2973
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",18572
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",89937
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",80175
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",13907
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",119370.00000000001
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",17894
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",35535
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",28656
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20812,"Preserved Fruits and Nuts",17319.999999999996
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",31790
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",232677
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",53284
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",21911
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",238.00000000000003
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",724
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",545
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",1139
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",4322
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",52146
2,"Vegetable Products",210,"Cereals",21001,"Wheat",1369
2,"Vegetable Products",210,"Cereals",21003,"Barley",53
2,"Vegetable Products",210,"Cereals",21005,"Corn",6671
2,"Vegetable Products",210,"Cereals",21006,"Rice",75498
