Country,Tax excluded,Tax included,Tax
Australia,87.28395062,129.8765432,42.59259259
American Samoa,97.16049383,113.8271605,16.66666667
Fiji,79.56790123,105.8024691,26.2345679
New Zealand,118.1481481,143.7654321,25.61728395
PNG,88.20987654,103.9506173,15.74074074
Samoa,76.79012346,111.6666667,34.87654321
Solomon Islands,99.9382716,123.0864198,23.14814815
Vanuatu,95,144.691358,49.69135802
Cook Islands,127.7160494,164.4444444,36.72839506
Micronesia,138.8271605,141.9135802,3.086419753
Marshal Islands,146.5432099,155.1851852,8.641975309
Nauru,103.3333333,145.617284,42.28395062
Tonga,91.60493827,137.5925926,45.98765432
Niue,172.4691358,200.8641975,28.39506173
