Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Micronesia (Federated States of),Primary production,---,---,---,---,---,24,---,*14,---,39,39
Micronesia (Federated States of),Imports,---,---,---,*2555,---,0,---,---,---,*2555,0
Micronesia (Federated States of),Exports,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),International marine bunkers,---,---,---,*-142,---,---,---,---,---,*-142,---
Micronesia (Federated States of),International aviation bunkers,---,---,---,*-281,---,---,---,---,---,*-281,---
Micronesia (Federated States of),Stock changes,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Total energy supply,---,---,---,*2132,---,24,---,*14,---,*2171,39
Micronesia (Federated States of),Statistical differences,---,---,---,*5,---,0,---,*0,---,*5,14
Micronesia (Federated States of),Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Transformation,---,---,---,*-830,---,*-10,---,*233,---,*-607,*-10
Micronesia (Federated States of),Electricity  CHP & Heat Plants,---,---,---,*-830,---,---,---,*233,---,*-597,---
Micronesia (Federated States of),Electricity Plants,---,---,---,*-830,---,---,---,*233,---,*-597,---
Micronesia (Federated States of),CHP plants,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Heat plants,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Gas works,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Other transformation,---,---,---,---,---,*-10,---,---,---,*-10,*-10
Micronesia (Federated States of),Energy industries own use,---,---,---,---,---,---,---,*-8,---,*-8,---
Micronesia (Federated States of),Losses,---,---,---,---,---,---,---,*-74,---,*-74,---
Micronesia (Federated States of),Final consumption,---,---,---,*1297,---,*15,---,*165,---,*1477,*15
Micronesia (Federated States of),Final Energy Consumption,---,---,---,*1205,---,*15,---,*165,---,*1385,*15
Micronesia (Federated States of),Manufacturing  const. and mining,---,---,---,---,---,---,---,*53,---,*53,---
Micronesia (Federated States of),Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Machinery,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Construction,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Industry n.e.s,---,---,---,---,---,---,---,*53,---,*53,---
Micronesia (Federated States of),Transport,---,---,---,*1161,---,---,---,---,---,*1161,---
Micronesia (Federated States of),Road,---,---,---,*230,---,---,---,---,---,*230,---
Micronesia (Federated States of),Rail,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Domestic aviation,---,---,---,*41,---,---,---,---,---,*41,---
Micronesia (Federated States of),Domestic navigation,---,---,---,*576,---,---,---,---,---,*576,---
Micronesia (Federated States of),Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Transport n.e.s,---,---,---,*314,---,---,---,---,---,*314,---
Micronesia (Federated States of),Other Consumption,---,---,---,*44,---,*15,---,*112,---,*171,*15
Micronesia (Federated States of),Agriculture  forestry and fishing,---,---,---,---,---,---,---,---,---,---,---
Micronesia (Federated States of),Commerce and public services,---,---,---,---,---,---,---,*52,---,*52,---
Micronesia (Federated States of),Households,---,---,---,---,---,*4,---,*60,---,*64,*4
Micronesia (Federated States of),Other consumption n.e.s,---,---,---,*44,---,*11,---,---,---,*55,*11
Micronesia (Federated States of),Non-energy use,---,---,---,*92,---,---,---,---,---,*92,---
