Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
New Caledonia,Primary production,---,---,---,---,---,123,---,1472,141,1736,1736
New Caledonia,Imports,33415,---,---,41701,---,1,---,---,---,75117,1
New Caledonia,Exports,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,International marine bunkers,---,---,---,*-374,---,---,---,---,---,*-374,---
New Caledonia,International aviation bunkers,---,---,---,-1574,---,---,---,---,---,-1574,---
New Caledonia,Stock changes,*-746,---,---,*-814,---,---,---,---,---,*-1561,---
New Caledonia,Total energy supply,32669,---,---,38938,---,124,---,1472,141,73344,1737
New Caledonia,Statistical differences,0,---,---,0,---,0,---,0,0,0,1472
New Caledonia,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Transformation,*-21078,---,---,*-17707,---,*-22,---,11077,---,*-27730,*-22
New Caledonia,Electricity  CHP & Heat Plants,*-21078,---,---,*-17707,---,*-5,---,11077,---,*-27714,*-5
New Caledonia,Electricity Plants,*-21078,---,---,*-17707,---,*-5,---,11077,---,*-27714,*-5
New Caledonia,CHP plants,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Heat plants,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Gas works,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Other transformation,---,---,---,---,---,*-16,---,---,---,*-16,*-16
New Caledonia,Energy industries own use,---,---,---,---,---,---,---,-3,---,-3,---
New Caledonia,Losses,---,---,---,---,---,---,---,*-231,---,*-231,---
New Caledonia,Final consumption,11591,---,---,*21231,---,*102,---,12315,141,*45380,243
New Caledonia,Final Energy Consumption,*5000,---,---,*20564,---,*102,---,12315,141,*38121,243
New Caledonia,Manufacturing  const. and mining,*5000,---,---,*9199,---,---,---,9860,---,*24059,---
New Caledonia,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Non-ferrous metals,---,---,---,*2238,---,---,---,9422,---,11660,---
New Caledonia,Non-metallic minerals,*5000,---,---,*2917,---,---,---,---,---,*7917,---
New Caledonia,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Machinery,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Mining and quarrying,---,---,---,*3380,---,---,---,94,---,*3474,---
New Caledonia,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Construction,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Industry n.e.s,*0,---,---,*664,---,---,---,344,---,*1008,---
New Caledonia,Transport,---,---,---,*10558,---,---,---,---,---,*10558,---
New Caledonia,Road,---,---,---,*9429,---,---,---,---,---,*9429,---
New Caledonia,Rail,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Domestic aviation,---,---,---,357,---,---,---,---,---,357,---
New Caledonia,Domestic navigation,---,---,---,*772,---,---,---,---,---,*772,---
New Caledonia,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Other Consumption,---,---,---,*807,---,*102,---,*2454,141,*3504,243
New Caledonia,Agriculture  forestry and fishing,---,---,---,*254,---,---,---,---,---,*254,---
New Caledonia,Commerce and public services,---,---,---,*194,---,---,---,*1379,141,*1713,141
New Caledonia,Households,---,---,---,*359,---,*102,---,*1076,---,*1537,*102
New Caledonia,Other consumption n.e.s,---,---,---,---,---,---,---,---,---,---,---
New Caledonia,Non-energy use,6591,---,---,*667,---,---,---,---,---,7258,---
