Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Niue,Primary production,---,---,---,---,---,1,---,2,*16,*18,*18
Niue,Imports,---,---,---,*107,---,---,---,---,---,*107,---
Niue,Exports,---,---,---,---,---,---,---,---,---,---,---
Niue,International marine bunkers,---,---,---,---,---,---,---,---,---,---,---
Niue,International aviation bunkers,---,---,---,-21,---,---,---,---,---,-21,---
Niue,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Niue,Total energy supply,---,---,---,*85,---,1,---,2,*16,*104,*18
Niue,Statistical differences,---,---,---,*3,---,0,---,*0,*0,*3,*2
Niue,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Niue,Transformation,---,---,---,-34,---,*0,---,*12,---,-22,*0
Niue,Electricity  CHP & Heat Plants,---,---,---,-34,---,---,---,*12,---,-22,---
Niue,Electricity Plants,---,---,---,-34,---,---,---,*12,---,-22,---
Niue,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Niue,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Niue,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Niue,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Niue,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Niue,Gas works,---,---,---,---,---,---,---,---,---,---,---
Niue,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Niue,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Niue,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Niue,Other transformation,---,---,---,---,---,*0,---,---,---,*0,*0
Niue,Energy industries own use,---,---,---,---,---,---,---,*-1,---,*-1,---
Niue,Losses,---,---,---,---,---,---,---,*-1,---,*-1,---
Niue,Final consumption,---,---,---,*48,---,*0,---,*12,*16,*76,*16
Niue,Final Energy Consumption,---,---,---,*48,---,*0,---,*12,*16,*76,*16
Niue,Manufacturing  const. and mining,---,---,---,*2,---,---,---,*3,---,*5,---
Niue,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Niue,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Niue,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Niue,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Niue,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Niue,Machinery,---,---,---,---,---,---,---,---,---,---,---
Niue,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Niue,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Niue,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Niue,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Niue,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Niue,Construction,---,---,---,---,---,---,---,---,---,---,---
Niue,Industry n.e.s,---,---,---,*2,---,---,---,*3,---,*5,---
Niue,Transport,---,---,---,*42,---,---,---,---,---,*42,---
Niue,Road,---,---,---,*41,---,---,---,---,---,*41,---
Niue,Rail,---,---,---,---,---,---,---,---,---,---,---
Niue,Domestic aviation,---,---,---,*1,---,---,---,---,---,*1,---
Niue,Domestic navigation,---,---,---,*0,---,---,---,---,---,*0,---
Niue,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Niue,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Niue,Other Consumption,---,---,---,*4,---,*0,---,*9,*16,*29,*16
Niue,Agriculture  forestry and fishing,---,---,---,*1,---,---,---,---,---,*1,---
Niue,Commerce and public services,---,---,---,*1,---,---,---,*5,---,*6,---
Niue,Households,---,---,---,*2,---,*0,---,*4,*16,*23,*16
Niue,Other consumption n.e.s,---,---,---,---,---,---,---,---,---,---,---
Niue,Non-energy use,---,---,---,---,---,---,---,---,---,---,---
