Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Tonga,Primary production,---,---,---,---,---,19,---,15,---,34,34
Tonga,Imports,---,---,---,2083,---,1,---,---,---,2083,1
Tonga,Exports,---,---,---,---,---,---,---,---,---,---,---
Tonga,International marine bunkers,---,---,---,*-16,---,---,---,---,---,*-16,---
Tonga,International aviation bunkers,---,---,---,*-163,---,---,---,---,---,*-163,---
Tonga,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Tonga,Total energy supply,---,---,---,1904,---,19,---,15,---,1938,34
Tonga,Statistical differences,---,---,---,0,---,0,---,6,---,6,15
Tonga,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Tonga,Transformation,---,---,---,*-594,---,*-6,---,229,---,*-372,*-6
Tonga,Electricity  CHP & Heat Plants,---,---,---,*-594,---,---,---,229,---,*-365,---
Tonga,Electricity Plants,---,---,---,*-594,---,---,---,229,---,*-365,---
Tonga,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Tonga,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Tonga,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Tonga,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Tonga,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Tonga,Gas works,---,---,---,---,---,---,---,---,---,---,---
Tonga,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Tonga,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Tonga,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Tonga,Other transformation,---,---,---,---,---,*-6,---,---,---,*-6,*-6
Tonga,Energy industries own use,---,---,---,---,---,---,---,-7,---,-7,---
Tonga,Losses,---,---,---,---,---,---,---,-21,---,-21,---
Tonga,Final consumption,---,---,---,*1310,---,*13,---,*210,---,*1533,*13
Tonga,Final Energy Consumption,---,---,---,*1298,---,*13,---,*210,---,*1521,*13
Tonga,Manufacturing  const. and mining,---,---,---,---,---,---,---,---,---,---,---
Tonga,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Tonga,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Tonga,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Tonga,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Tonga,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Tonga,Machinery,---,---,---,---,---,---,---,---,---,---,---
Tonga,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Tonga,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Tonga,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Tonga,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Tonga,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Tonga,Construction,---,---,---,---,---,---,---,---,---,---,---
Tonga,Industry n.e.s,---,---,---,---,---,---,---,---,---,---,---
Tonga,Transport,---,---,---,*1190,---,---,---,---,---,*1190,---
Tonga,Road,---,---,---,*758,---,---,---,---,---,*758,---
Tonga,Rail,---,---,---,---,---,---,---,---,---,---,---
Tonga,Domestic aviation,---,---,---,*8,---,---,---,---,---,*8,---
Tonga,Domestic navigation,---,---,---,---,---,---,---,---,---,---,---
Tonga,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Tonga,Transport n.e.s,---,---,---,*424,---,---,---,---,---,*424,---
Tonga,Other Consumption,---,---,---,*108,---,*13,---,*210,---,*331,*13
Tonga,Agriculture  forestry and fishing,---,---,---,---,---,---,---,---,---,---,---
Tonga,Commerce and public services,---,---,---,---,---,---,---,*69,---,*69,---
Tonga,Households,---,---,---,*108,---,*13,---,*76,---,*197,*13
Tonga,Other consumption n.e.s,---,---,---,---,---,---,---,*65,---,*65,---
Tonga,Non-energy use,---,---,---,*12,---,---,---,---,---,*12,---
