Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Vanuatu,Primary production,---,---,---,---,---,859,---,62,---,920,920
Vanuatu,Imports,---,---,---,3259,---,---,---,---,---,3259,---
Vanuatu,Exports,---,---,---,---,---,0,---,---,---,0,0
Vanuatu,International marine bunkers,---,---,---,*-259,---,---,---,---,---,*-259,---
Vanuatu,International aviation bunkers,---,---,---,*-463,---,---,---,---,---,*-463,---
Vanuatu,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Total energy supply,---,---,---,2537,---,859,---,62,---,3458,920
Vanuatu,Statistical differences,---,---,---,0,---,*0,---,*0,---,0,62
Vanuatu,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Transformation,---,---,---,-666,---,*-44,---,*225,---,-486,*-44
Vanuatu,Electricity  CHP & Heat Plants,---,---,---,-666,---,*-27,---,*225,---,-469,*-27
Vanuatu,Electricity Plants,---,---,---,-666,---,*-27,---,*225,---,-469,*-27
Vanuatu,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Gas works,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Other transformation,---,---,---,---,---,*-16,---,---,---,*-16,*-16
Vanuatu,Energy industries own use,---,---,---,---,---,---,---,*-1,---,*-1,---
Vanuatu,Losses,---,---,---,---,---,---,---,*-32,---,*-32,---
Vanuatu,Final consumption,---,---,---,*1871,---,*815,---,*253,---,*2939,*815
Vanuatu,Final Energy Consumption,---,---,---,*1782,---,*815,---,*253,---,*2850,*815
Vanuatu,Manufacturing  const. and mining,---,---,---,---,---,---,---,*87,---,*87,---
Vanuatu,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Machinery,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Construction,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Industry n.e.s,---,---,---,---,---,---,---,*87,---,*87,---
Vanuatu,Transport,---,---,---,*1721,---,---,---,---,---,*1721,---
Vanuatu,Road,---,---,---,*1562,---,---,---,---,---,*1562,---
Vanuatu,Rail,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Domestic aviation,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Domestic navigation,---,---,---,*158,---,---,---,---,---,*158,---
Vanuatu,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Other Consumption,---,---,---,*62,---,*815,---,*166,---,*1043,*815
Vanuatu,Agriculture  forestry and fishing,---,---,---,---,---,---,---,---,---,---,---
Vanuatu,Commerce and public services,---,---,---,---,---,---,---,*83,---,*83,---
Vanuatu,Households,---,---,---,*62,---,*815,---,*80,---,*957,*815
Vanuatu,Other consumption n.e.s,---,---,---,---,---,---,---,*4,---,*4,---
Vanuatu,Non-energy use,---,---,---,*88,---,---,---,---,---,*88,---
