,Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables,All Coal,All Oil,All Inputs
0,Samoa,Primary production,0.0,0.0,0.0,0.0,0.0,1466.0,0.0,231.0,3.0,1699.0,1699.0,0.0,0.0,1469.0
1,Samoa,Imports,0.0,0.0,0.0,4129.0,0.0,0.0,0.0,0.0,0.0,4129.0,0.0,0.0,4129.0,4129.0
2,Samoa,Exports,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,-29.0,0.0,0.0,-29.0,-29.0
3,Samoa,International marine bunkers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Samoa,International aviation bunkers,0.0,0.0,0.0,-532.0,0.0,0.0,0.0,0.0,0.0,-532.0,0.0,0.0,-532.0,-532.0
5,Samoa,Stock changes,0.0,0.0,0.0,-21.0,0.0,0.0,0.0,0.0,0.0,-21.0,0.0,0.0,-21.0,-21.0
6,Samoa,Total energy supply,0.0,0.0,0.0,3548.0,0.0,1466.0,0.0,231.0,3.0,5247.0,1699.0,0.0,3548.0,5017.0
7,Samoa,Statistical differences,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-4.0,231.0,0.0,-4.0,-4.0
8,Samoa,Transfers and recycled products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Samoa,Transformation,0.0,0.0,0.0,-843.0,0.0,-13.0,0.0,322.0,0.0,-533.0,-13.0,0.0,-843.0,-856.0
10,Samoa,Electricity  CHP & Heat Plants,0.0,0.0,0.0,-843.0,0.0,0.0,0.0,322.0,0.0,-521.0,0.0,0.0,-843.0,-843.0
11,Samoa,Electricity Plants,0.0,0.0,0.0,-843.0,0.0,0.0,0.0,322.0,0.0,-521.0,0.0,0.0,-843.0,-843.0
12,Samoa,CHP plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Samoa,Heat plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Samoa,Coke ovens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Samoa,Briquetting plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Samoa,Liquefaction plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Samoa,Gas works,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Samoa,Blast furnaces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Samoa,NGL & gas blending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Samoa,Oil refineries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Samoa,Other transformation,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-13.0,-13.0,0.0,0.0,-13.0
22,Samoa,Energy industries own use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-15.0,0.0,0.0,0.0,0.0
23,Samoa,Losses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0,-54.0,0.0,0.0,0.0,0.0
24,Samoa,Final consumption,0.0,0.0,0.0,2708.0,0.0,1453.0,0.0,484.0,3.0,4648.0,1456.0,0.0,2708.0,4164.0
25,Samoa,Final Energy Consumption,0.0,0.0,0.0,2588.0,0.0,1453.0,0.0,484.0,3.0,4528.0,1456.0,0.0,2588.0,4044.0
26,Samoa,Manufacturing  const. and mining,0.0,0.0,0.0,215.0,0.0,0.0,0.0,20.0,0.0,235.0,0.0,0.0,215.0,215.0
