Country (2019),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Kiribati,Primary production,---,---,---,---,---,*545,---,18,---,*563,*563
Kiribati,Imports,---,---,---,*1048,---,---,---,---,---,*1048,---
Kiribati,Exports,---,---,---,---,---,---,---,---,---,---,---
Kiribati,International marine bunkers,---,---,---,---,---,---,---,---,---,---,---
Kiribati,International aviation bunkers,---,---,---,*-27,---,---,---,---,---,*-27,---
Kiribati,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Total energy supply,---,---,---,*1020,---,*545,---,18,---,*1583,*563
Kiribati,Statistical differences,---,---,---,*0,---,*0,---,*0,---,*0,*18
Kiribati,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Transformation,---,---,---,*-305,---,*-11,---,*96,---,*-219,*-11
Kiribati,Electricity  CHP & Heat Plants,---,---,---,*-305,---,---,---,*96,---,*-209,---
Kiribati,Electricity Plants,---,---,---,*-305,---,---,---,*96,---,*-209,---
Kiribati,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Gas works,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Kiribati,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Other transformation,---,---,---,---,---,*-11,---,---,---,*-11,*-11
Kiribati,Energy industries own use,---,---,---,---,---,---,---,*-5,---,*-5,---
Kiribati,Losses,---,---,---,---,---,---,---,*-17,---,*-17,---
Kiribati,Final consumption,---,---,---,*715,---,*534,---,*93,---,*1342,*534
Kiribati,Final Energy Consumption,---,---,---,*711,---,*534,---,*93,---,*1338,*534
Kiribati,Manufacturing  const. and mining,---,---,---,*9,---,---,---,*8,---,*17,---
Kiribati,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Machinery,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Construction,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Industry n.e.s,---,---,---,*9,---,---,---,*8,---,*17,---
Kiribati,Transport,---,---,---,*449,---,---,---,---,---,*449,---
Kiribati,Road,---,---,---,*353,---,---,---,---,---,*353,---
Kiribati,Rail,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Domestic aviation,---,---,---,*36,---,---,---,---,---,*36,---
Kiribati,Domestic navigation,---,---,---,*60,---,---,---,---,---,*60,---
Kiribati,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Other Consumption,---,---,---,*253,---,*534,---,*85,---,*872,*534
Kiribati,Agriculture  forestry and fishing,---,---,---,*119,---,---,---,---,---,*119,---
Kiribati,Commerce and public services,---,---,---,*32,---,---,---,*46,---,*78,---
Kiribati,Households,---,---,---,*102,---,*534,---,*38,---,*675,*534
Kiribati,Other consumption n.e.s,---,---,---,---,---,---,---,---,---,---,---
Kiribati,Non-energy use,---,---,---,*4,---,---,---,---,---,*4,---
