Country (2019),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Papua New Guinea,Primary production,---,---,*43214,---,*105639,*72141,---,*3347,*16000,*240341,*91488
Papua New Guinea,Imports,---,---,*58732,*59360,---,---,---,---,---,*118092,---
Papua New Guinea,Exports,---,---,*-43214,*-17299,*-90762,---,---,---,---,*-151275,---
Papua New Guinea,International marine bunkers,---,---,---,*-308,---,---,---,---,---,*-308,---
Papua New Guinea,International aviation bunkers,---,---,---,*-2602,---,---,---,---,---,*-2602,---
Papua New Guinea,Stock changes,---,---,*-2198,*-528,---,---,---,---,---,*-2726,---
Papua New Guinea,Total energy supply,---,---,*56534,*38624,*14877,*72141,---,*3347,*16000,*201523,*91488
Papua New Guinea,Statistical differences,---,---,*572,*359,*0,*0,---,*0,*0,*930,*4947
Papua New Guinea,Transfers and recycled products,---,---,---,*88,---,---,---,---,---,*88,---
Papua New Guinea,Transformation,---,---,*-55963,*17628,*-6331,-352,---,*14140,*-16000,*-46877,*-14752
Papua New Guinea,Electricity  CHP & Heat Plants,---,---,---,*-35565,*-6331,-88,---,*14140,*-16000,*-43843,*-14488
Papua New Guinea,Electricity Plants,---,---,---,*-35565,*-6331,-88,---,*14140,*-16000,*-43843,*-14488
Papua New Guinea,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Gas works,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Oil refineries,---,---,*-55963,*53193,---,---,---,---,---,*-2770,---
Papua New Guinea,Other transformation,---,---,---,---,---,-264,---,---,---,-264,-264
Papua New Guinea,Energy industries own use,---,---,---,---,*-8546,---,---,*-210,---,*-8757,---
Papua New Guinea,Losses,---,---,---,---,---,---,---,-1099,---,-1099,---
Papua New Guinea,Final consumption,---,---,---,*55981,---,*71789,---,*16178,---,*143948,*71789
Papua New Guinea,Final Energy Consumption,---,---,---,*55981,---,*71789,---,*16178,---,*143948,*71789
Papua New Guinea,Manufacturing  const. and mining,---,---,---,*25058,---,*2989,---,*11870,---,*39917,*2989
Papua New Guinea,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Machinery,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Food and tobacco,---,---,---,---,---,*897,---,---,---,*897,*897
Papua New Guinea,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Construction,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Industry n.e.s,---,---,---,*25058,---,*2093,---,*11870,---,*39020,*2093
Papua New Guinea,Transport,---,---,---,*23911,---,---,---,---,---,*23911,---
Papua New Guinea,Road,---,---,---,*20618,---,---,---,---,---,*20618,---
Papua New Guinea,Rail,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Domestic aviation,---,---,---,*3293,---,---,---,---,---,*3293,---
Papua New Guinea,Domestic navigation,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Other Consumption,---,---,---,*7013,---,*68800,---,*4308,---,*80121,*68800
Papua New Guinea,Agriculture  forestry and fishing,---,---,---,*4484,---,---,---,*258,---,*4743,---
Papua New Guinea,Commerce and public services,---,---,---,*1023,---,*10331,---,*388,---,*11741,*10331
Papua New Guinea,Households,---,---,---,*1506,---,*58469,---,*3662,---,*63637,*58469
Papua New Guinea,Other consumption n.e.s,---,---,---,---,---,---,---,---,---,---,---
Papua New Guinea,Non-energy use,---,---,---,---,---,---,---,---,---,---,---
