Country (2019),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Palau,Primary production,---,---,---,---,---,---,---,7,---,7,7
Palau,Imports,---,---,---,*3659,---,0,---,---,---,*3659,0
Palau,Exports,---,---,---,---,---,---,---,---,---,---,---
Palau,International marine bunkers,---,---,---,---,---,---,---,---,---,---,---
Palau,International aviation bunkers,---,---,---,*-618,---,---,---,---,---,*-618,---
Palau,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Palau,Total energy supply,---,---,---,*3041,---,0,---,7,---,*3049,8
Palau,Statistical differences,---,---,---,*0,---,0,---,*0,---,*0,7
Palau,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Palau,Transformation,---,---,---,*-1075,---,---,---,*340,---,*-735,---
Palau,Electricity  CHP & Heat Plants,---,---,---,*-1075,---,---,---,*340,---,*-735,---
Palau,Electricity Plants,---,---,---,*-1075,---,---,---,*340,---,*-735,---
Palau,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Palau,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Palau,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Palau,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Palau,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Palau,Gas works,---,---,---,---,---,---,---,---,---,---,---
Palau,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Palau,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Palau,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Palau,Other transformation,---,---,---,---,---,---,---,---,---,---,---
Palau,Energy industries own use,---,---,---,---,---,---,---,*-18,---,*-18,---
Palau,Losses,---,---,---,---,---,---,---,*-40,---,*-40,---
Palau,Final consumption,---,---,---,*1966,---,*0,---,*290,---,*2256,*0
Palau,Final Energy Consumption,---,---,---,*1926,---,*0,---,*290,---,*2216,*0
Palau,Manufacturing  const. and mining,---,---,---,---,---,---,---,*22,---,*22,---
Palau,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Palau,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Palau,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Palau,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Palau,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Palau,Machinery,---,---,---,---,---,---,---,---,---,---,---
Palau,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Palau,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Palau,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Palau,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Palau,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Palau,Construction,---,---,---,---,---,---,---,---,---,---,---
Palau,Industry n.e.s,---,---,---,---,---,---,---,*22,---,*22,---
Palau,Transport,---,---,---,*1834,---,---,---,---,---,*1834,---
Palau,Road,---,---,---,*545,---,---,---,---,---,*545,---
Palau,Rail,---,---,---,---,---,---,---,---,---,---,---
Palau,Domestic aviation,---,---,---,---,---,---,---,---,---,---,---
Palau,Domestic navigation,---,---,---,*1289,---,---,---,---,---,*1289,---
Palau,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Palau,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Palau,Other Consumption,---,---,---,*92,---,*0,---,*268,---,*361,*0
Palau,Agriculture  forestry and fishing,---,---,---,---,---,---,---,---,---,---,---
Palau,Commerce and public services,---,---,---,---,---,---,---,*158,---,*158,---
Palau,Households,---,---,---,*92,---,*0,---,*85,---,*177,*0
Palau,Other consumption n.e.s,---,---,---,---,---,---,---,*25,---,*25,---
Palau,Non-energy use,---,---,---,*40,---,---,---,---,---,*40,---
