Country (2019),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Solomon Islands,Primary production,---,---,---,---,---,*3310,---,18,---,*3328,*3328
Solomon Islands,Imports,---,---,---,*4684,---,---,---,---,---,*4684,---
Solomon Islands,Exports,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,International marine bunkers,---,---,---,*-240,---,---,---,---,---,*-240,---
Solomon Islands,International aviation bunkers,---,---,---,*-170,---,---,---,---,---,*-170,---
Solomon Islands,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Total energy supply,---,---,---,*4274,---,*3310,---,18,---,*7602,*3328
Solomon Islands,Statistical differences,---,---,---,*4,---,*0,---,3,---,*7,*18
Solomon Islands,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Transformation,---,---,---,*-1027,---,*-73,---,368,---,*-732,*-73
Solomon Islands,Electricity  CHP & Heat Plants,---,---,---,*-1027,---,*-36,---,368,---,*-695,*-36
Solomon Islands,Electricity Plants,---,---,---,*-1027,---,*-36,---,368,---,*-695,*-36
Solomon Islands,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Gas works,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Other transformation,---,---,---,---,---,*-37,---,---,---,*-37,*-37
Solomon Islands,Energy industries own use,---,---,---,---,---,---,---,0,---,0,---
Solomon Islands,Losses,---,---,---,---,---,---,---,*-65,---,*-65,---
Solomon Islands,Final consumption,---,---,---,*3243,---,*3237,---,318,---,*6797,*3237
Solomon Islands,Final Energy Consumption,---,---,---,*3180,---,*3237,---,318,---,*6734,*3237
Solomon Islands,Manufacturing  const. and mining,---,---,---,*268,---,---,---,*146,---,*414,---
Solomon Islands,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Machinery,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Construction,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Industry n.e.s,---,---,---,*268,---,---,---,*146,---,*414,---
Solomon Islands,Transport,---,---,---,*2681,---,---,---,---,---,*2681,---
Solomon Islands,Road,---,---,---,*2285,---,---,---,---,---,*2285,---
Solomon Islands,Rail,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Domestic aviation,---,---,---,*37,---,---,---,---,---,*37,---
Solomon Islands,Domestic navigation,---,---,---,*360,---,---,---,---,---,*360,---
Solomon Islands,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Solomon Islands,Other Consumption,---,---,---,*231,---,*3237,---,172,---,*3639,*3237
Solomon Islands,Agriculture  forestry and fishing,---,---,---,*217,---,---,---,---,---,*217,---
Solomon Islands,Commerce and public services,---,---,---,---,---,---,---,*73,---,*73,---
Solomon Islands,Households,---,---,---,*13,---,*3237,---,63,---,*3313,*3237
Solomon Islands,Other consumption n.e.s,---,---,---,---,---,---,---,36,---,36,---
Solomon Islands,Non-energy use,---,---,---,*63,---,---,---,---,---,*63,---
