Country (2019),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Tuvalu,Primary production,---,---,---,---,---,---,---,7,---,7,7
Tuvalu,Imports,---,---,---,*132,---,---,---,---,---,*132,---
Tuvalu,Exports,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,International marine bunkers,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,International aviation bunkers,---,---,---,*-9,---,---,---,---,---,*-9,---
Tuvalu,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Total energy supply,---,---,---,*122,---,---,---,7,---,*130,7
Tuvalu,Statistical differences,---,---,---,*0,---,---,---,*0,---,*0,7
Tuvalu,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Transformation,---,---,---,*-73,---,---,---,*24,---,*-49,---
Tuvalu,Electricity  CHP & Heat Plants,---,---,---,*-73,---,---,---,*24,---,*-49,---
Tuvalu,Electricity Plants,---,---,---,*-73,---,---,---,*24,---,*-49,---
Tuvalu,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Gas works,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Other transformation,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Energy industries own use,---,---,---,---,---,---,---,*0,---,*0,---
Tuvalu,Losses,---,---,---,---,---,---,---,*-4,---,*-4,---
Tuvalu,Final consumption,---,---,---,*49,---,---,---,*27,---,*76,---
Tuvalu,Final Energy Consumption,---,---,---,*49,---,---,---,*27,---,*76,---
Tuvalu,Manufacturing  const. and mining,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Machinery,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Construction,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Industry n.e.s,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Transport,---,---,---,*38,---,---,---,---,---,*38,---
Tuvalu,Road,---,---,---,*25,---,---,---,---,---,*25,---
Tuvalu,Rail,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Domestic aviation,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Domestic navigation,---,---,---,*13,---,---,---,---,---,*13,---
Tuvalu,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Other Consumption,---,---,---,*11,---,---,---,*27,---,*38,---
Tuvalu,Agriculture  forestry and fishing,---,---,---,*4,---,---,---,---,---,*4,---
Tuvalu,Commerce and public services,---,---,---,---,---,---,---,*15,---,*15,---
Tuvalu,Households,---,---,---,*8,---,---,---,*12,---,*19,---
Tuvalu,Other consumption n.e.s,---,---,---,---,---,---,---,---,---,---,---
Tuvalu,Non-energy use,---,---,---,---,---,---,---,---,---,---,---
