Country (2020),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Fiji,Primary production,---,---,---,---,---,4168,---,2059,---,6227,6227
Fiji,Imports,---,---,---,*23121,---,1,---,---,---,*23122,1
Fiji,Exports,---,---,---,*-7322,---,0,---,---,---,*-7322,0
Fiji,International marine bunkers,---,---,---,*-984,---,---,---,---,---,*-984,---
Fiji,International aviation bunkers,---,---,---,*-450,---,---,---,---,---,*-450,---
Fiji,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Fiji,Total energy supply,---,---,---,*14366,---,4169,---,2059,---,*20593,6228
Fiji,Statistical differences,---,---,---,*0,---,0,---,1,---,*1,2059
Fiji,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Fiji,Transformation,---,---,---,*-3482,---,*-506,---,1501,---,*-2487,*-506
Fiji,Electricity  CHP & Heat Plants,---,---,---,*-3482,---,*-443,---,1501,---,*-2424,*-443
Fiji,Electricity Plants,---,---,---,-3482,---,*-18,---,1501,---,-1999,*-18
Fiji,CHP plants,---,---,---,---,---,*-425,---,---,---,*-425,*-425
Fiji,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Fiji,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Fiji,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Fiji,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Fiji,Gas works,---,---,---,---,---,---,---,---,---,---,---
Fiji,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Fiji,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Fiji,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Fiji,Other transformation,---,---,---,---,---,*-63,---,---,---,*-63,*-63
Fiji,Energy industries own use,---,---,---,---,---,---,---,-45,---,-45,---
Fiji,Losses,---,---,---,---,---,---,---,*-367,---,*-367,---
Fiji,Final consumption,---,---,---,*10884,---,*3662,---,3146,---,*17692,*3662
Fiji,Final Energy Consumption,---,---,---,*10642,---,*3662,---,3146,---,*17451,*3662
Fiji,Manufacturing  const. and mining,---,---,---,*2473,---,*3405,---,698,---,*6577,*3405
Fiji,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Fiji,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Fiji,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Fiji,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Fiji,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Fiji,Machinery,---,---,---,---,---,---,---,---,---,---,---
Fiji,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Fiji,Food and tobacco,---,---,---,---,---,*3405,---,---,---,*3405,*3405
Fiji,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Fiji,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Fiji,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Fiji,Construction,---,---,---,---,---,---,---,---,---,---,---
Fiji,Industry n.e.s,---,---,---,*2473,---,*0,---,698,---,*3172,*0
Fiji,Transport,---,---,---,*6926,---,---,---,---,---,*6926,---
Fiji,Road,---,---,---,*5605,---,---,---,---,---,*5605,---
Fiji,Rail,---,---,---,---,---,---,---,---,---,---,---
Fiji,Domestic aviation,---,---,---,*454,---,---,---,---,---,*454,---
Fiji,Domestic navigation,---,---,---,*867,---,---,---,---,---,*867,---
Fiji,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Fiji,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Fiji,Other Consumption,---,---,---,*1243,---,*257,---,2448,---,3948,*257
Fiji,Agriculture  forestry and fishing,---,---,---,---,---,---,---,---,---,---,---
Fiji,Commerce and public services,---,---,---,*95,---,---,---,1382,---,1477,---
Fiji,Households,---,---,---,*1148,---,*257,---,958,---,*2363,*257
Fiji,Other consumption n.e.s,---,---,---,---,---,---,---,*108,---,*108,---
Fiji,Non-energy use,---,---,---,*241,---,---,---,---,---,*241,---
