Country (2020),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
French Polynesia,Primary production,---,---,---,---,---,43,---,724,80,846,846
French Polynesia,Imports,---,---,---,11913,---,3,---,---,---,11917,3
French Polynesia,Exports,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,International marine bunkers,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,International aviation bunkers,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Stock changes,---,---,---,13,---,---,---,---,---,13,---
French Polynesia,Total energy supply,---,---,---,11926,---,46,---,724,80,12776,850
French Polynesia,Statistical differences,---,---,---,0,---,0,---,0,0,0,724
French Polynesia,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Transformation,---,---,---,-4453,---,*-14,---,1672,---,-2795,*-14
French Polynesia,Electricity  CHP & Heat Plants,---,---,---,-4453,---,---,---,1672,---,-2781,---
French Polynesia,Electricity Plants,---,---,---,-4453,---,---,---,1672,---,-2781,---
French Polynesia,CHP plants,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Heat plants,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Gas works,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Other transformation,---,---,---,---,---,*-14,---,---,---,*-14,*-14
French Polynesia,Energy industries own use,---,---,---,---,---,---,---,-1,---,-1,---
French Polynesia,Losses,---,---,---,---,---,---,---,-152,---,-152,---
French Polynesia,Final consumption,---,---,---,7474,---,*32,---,2244,80,9829,112
French Polynesia,Final Energy Consumption,---,---,---,7357,---,*32,---,2244,80,9712,112
French Polynesia,Manufacturing  const. and mining,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Machinery,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Construction,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Industry n.e.s,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Transport,---,---,---,6422,---,---,---,---,---,6422,---
French Polynesia,Road,---,---,---,5047,---,---,---,---,---,5047,---
French Polynesia,Rail,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Domestic aviation,---,---,---,*467,---,---,---,---,---,*467,---
French Polynesia,Domestic navigation,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Transport n.e.s,---,---,---,907,---,---,---,---,---,907,---
French Polynesia,Other Consumption,---,---,---,935,---,*32,---,2244,80,3291,112
French Polynesia,Agriculture  forestry and fishing,---,---,---,425,---,---,---,---,---,425,---
French Polynesia,Commerce and public services,---,---,---,---,---,---,---,973,---,973,---
French Polynesia,Households,---,---,---,511,---,*32,---,1270,80,1893,112
French Polynesia,Other consumption n.e.s,---,---,---,---,---,---,---,---,---,---,---
French Polynesia,Non-energy use,---,---,---,*117,---,---,---,---,---,*117,---
