Country (2020),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Nauru,Primary production,---,---,---,---,---,---,---,8,---,8,8
Nauru,Imports,---,---,---,*1032,---,---,---,---,---,*1032,---
Nauru,Exports,---,---,---,---,---,---,---,---,---,---,---
Nauru,International marine bunkers,---,---,---,*-145,---,---,---,---,---,*-145,---
Nauru,International aviation bunkers,---,---,---,*-146,---,---,---,---,---,*-146,---
Nauru,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Nauru,Total energy supply,---,---,---,*741,---,---,---,8,---,*749,8
Nauru,Statistical differences,---,---,---,*0,---,---,---,-10,---,*-10,8
Nauru,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Nauru,Transformation,---,---,---,*-344,---,---,---,129,---,*-215,---
Nauru,Electricity  CHP & Heat Plants,---,---,---,*-344,---,---,---,129,---,*-215,---
Nauru,Electricity Plants,---,---,---,*-344,---,---,---,129,---,*-215,---
Nauru,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Nauru,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Nauru,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Nauru,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Nauru,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Nauru,Gas works,---,---,---,---,---,---,---,---,---,---,---
Nauru,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Nauru,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Nauru,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Nauru,Other transformation,---,---,---,---,---,---,---,---,---,---,---
Nauru,Energy industries own use,---,---,---,---,---,---,---,-7,---,-7,---
Nauru,Losses,---,---,---,---,---,---,---,-24,---,-24,---
Nauru,Final consumption,---,---,---,*397,---,---,---,116,---,*513,---
Nauru,Final Energy Consumption,---,---,---,*395,---,---,---,116,---,*511,---
Nauru,Manufacturing  const. and mining,---,---,---,---,---,---,---,5,---,5,---
Nauru,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Nauru,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Nauru,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Nauru,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Nauru,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Nauru,Machinery,---,---,---,---,---,---,---,---,---,---,---
Nauru,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Nauru,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Nauru,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Nauru,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Nauru,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Nauru,Construction,---,---,---,---,---,---,---,---,---,---,---
Nauru,Industry n.e.s,---,---,---,---,---,---,---,5,---,5,---
Nauru,Transport,---,---,---,*209,---,---,---,---,---,*209,---
Nauru,Road,---,---,---,---,---,---,---,---,---,---,---
Nauru,Rail,---,---,---,---,---,---,---,---,---,---,---
Nauru,Domestic aviation,---,---,---,---,---,---,---,---,---,---,---
Nauru,Domestic navigation,---,---,---,---,---,---,---,---,---,---,---
Nauru,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Nauru,Transport n.e.s,---,---,---,*209,---,---,---,---,---,*209,---
Nauru,Other Consumption,---,---,---,*187,---,---,---,111,---,*297,---
Nauru,Agriculture  forestry and fishing,---,---,---,---,---,---,---,---,---,---,---
Nauru,Commerce and public services,---,---,---,---,---,---,---,45,---,45,---
Nauru,Households,---,---,---,*1,---,---,---,59,---,60,---
Nauru,Other consumption n.e.s,---,---,---,*186,---,---,---,*6,---,*192,---
Nauru,Non-energy use,---,---,---,*2,---,---,---,---,---,*2,---
