Country (2020),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Samoa,Primary production,---,---,---,---,---,*1465,---,236,*3,*1704,*1704
Samoa,Imports,---,---,---,*3673,---,*0,---,---,---,*3674,*0
Samoa,Exports,---,---,---,*-18,---,---,---,---,---,*-18,---
Samoa,International marine bunkers,---,---,---,---,---,---,---,---,---,---,---
Samoa,International aviation bunkers,---,---,---,*-219,---,---,---,---,---,*-219,---
Samoa,Stock changes,---,---,---,*118,---,---,---,---,---,*118,---
Samoa,Total energy supply,---,---,---,*3555,---,*1466,---,236,*3,*5259,*1704
Samoa,Statistical differences,---,---,---,*-2,---,*0,---,0,*0,*-2,*236
Samoa,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Samoa,Transformation,---,---,---,*-1010,---,*-15,---,385,---,*-640,*-15
Samoa,Electricity  CHP & Heat Plants,---,---,---,*-1010,---,*-1,---,385,---,*-626,*-1
Samoa,Electricity Plants,---,---,---,*-1010,---,*-1,---,385,---,*-626,*-1
Samoa,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Samoa,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Samoa,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Samoa,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Samoa,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Samoa,Gas works,---,---,---,---,---,---,---,---,---,---,---
Samoa,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Samoa,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Samoa,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Samoa,Other transformation,---,---,---,---,---,*-14,---,---,---,*-14,*-14
Samoa,Energy industries own use,---,---,---,---,---,---,---,0,---,0,---
Samoa,Losses,---,---,---,---,---,---,---,-57,---,-57,---
Samoa,Final consumption,---,---,---,*2546,---,*1451,---,564,*3,*4564,*1454
Samoa,Final Energy Consumption,---,---,---,*2425,---,*1451,---,564,*3,*4443,*1454
Samoa,Manufacturing  const. and mining,---,---,---,*215,---,---,---,35,---,*250,---
Samoa,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Samoa,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Samoa,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Samoa,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Samoa,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Samoa,Machinery,---,---,---,---,---,---,---,---,---,---,---
Samoa,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Samoa,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Samoa,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Samoa,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Samoa,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Samoa,Construction,---,---,---,---,---,---,---,---,---,---,---
Samoa,Industry n.e.s,---,---,---,*215,---,---,---,35,---,*250,---
Samoa,Transport,---,---,---,*1884,---,---,---,---,---,*1884,---
Samoa,Road,---,---,---,*1626,---,---,---,---,---,*1626,---
Samoa,Rail,---,---,---,---,---,---,---,---,---,---,---
Samoa,Domestic aviation,---,---,---,---,---,---,---,---,---,---,---
Samoa,Domestic navigation,---,---,---,*258,---,---,---,---,---,*258,---
Samoa,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Samoa,Transport n.e.s,---,---,---,---,---,---,---,---,---,---,---
Samoa,Other Consumption,---,---,---,*326,---,*1451,---,530,*3,*2309,*1454
Samoa,Agriculture  forestry and fishing,---,---,---,*35,---,*6,---,---,---,*42,*6
Samoa,Commerce and public services,---,---,---,*151,---,---,---,359,*3,513,*3
Samoa,Households,---,---,---,*140,---,*1445,---,171,---,*1755,*1445
Samoa,Other consumption n.e.s,---,---,---,---,---,---,---,---,---,---,---
Samoa,Non-energy use,---,---,---,*121,---,---,---,---,---,*121,---
