"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10105,"Poultry",4633.999999999999
1,"Animal Products",101,"Live animals",10106,"Other Animals",4211
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",117264
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1157738
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",1121952
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",14890850
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",81392194
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",13387589
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",86943
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",140485
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",28601
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",92829
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",3203770
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",8838
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",4668
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",472724
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",89219
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",1139282
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",7125
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",101
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",493103
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",60599
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",728
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",3762
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",760
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",2117
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",18929.000000000004
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",66863
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",55185
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",694.0000000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",6108.000000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",139159
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",3319490
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",901837
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",32868
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",14246
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",76418
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",1374270
