"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",63655
1,"Animal Products",101,"Live animals",10105,"Poultry",1077569
1,"Animal Products",101,"Live animals",10106,"Other Animals",845
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",622999
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",3460112
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1643466
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",23904678
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",1932552
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",4888990
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",1480.9999999999998
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",386412
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",3784830
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",78471953
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",555301
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",313286
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",2012330.0000000002
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1285357
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",7156472
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",19698853
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",130785
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",75599
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",11574914
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",5587427
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",1741079.9999999998
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",135624
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",11910
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",1233
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10501,"Human Hair",259
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10502,"Pig Hair",273.99999999999994
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",63396
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",28.999999999999996
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10506,"Processed Bones",58198
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",5882
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",66591
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",13466
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",30563
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",5077
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",15095829.999999998
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",374848
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",9040719
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",675440
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",388781
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",2402173
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",16237
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",184424.99999999997
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",1648020
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",1632253
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",34009
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",294934
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",4296396
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",91275
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",459867
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",839451
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",4001.0000000000005
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",422102
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",1202382
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",1750675
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",199343.00000000003
