"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10106,"Other Animals",1487
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",4399
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",557432
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",9934778
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",23147
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",436270
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",197442.00000000003
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",987336
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",797.9999999999999
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",9612
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",17094
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",40
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",456
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",19
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",276
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",10470.000000000002
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",74.00000000000001
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",22048
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",2651
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",516
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",5790816.000000001
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",83
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",105
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",578
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",19394.000000000004
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21212,"Locust beans, seaweed, sugar beet, cane, for food",257248
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21302,"Vegetable Saps",484
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31513,"Coconut Oil",8131166
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31515,"Other Pure Vegetable Oils",110511
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31516,"Other Vegetable Oils",2182
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31518,"Inedible Fats and Oils",5506
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31519,"Stearic Acid",119478
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,"Processed Fish",94157.99999999999
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,"Processed Crustaceans",2715
4,"Foodstuffs",417,"Sugars and sugar confectionery",41701,"Raw Sugar",503089
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41806,"Chocolate",1844
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,"Baked Goods",4002
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,"Jams",2345
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",3910755
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",2349592
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",904
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",8976
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42201,"Water",6086
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42202,"Flavored Water",21027.999999999996
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42203,"Beer",192545
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",59480
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42206,"Other Fermented Beverages",760
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",90479
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42306,"Other Vegetable Residues",1000.9999999999999
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42308,"Other Vegetable Residues and Waste",13.000000000000002
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42402,"Rolled Tobacco",316
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52501,"Salt",9972
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52505,"Sand",20215
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52517,"Gravel and Crushed Stone",7132.000000000001
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52523,"Cement",17
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52530,"Other Mineral",4066
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",80693
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52715,"Asphalt Mixtures",81
6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62851,"Inorganic Compounds",322.99999999999994
6,"Chemical Products",629,"Organic chemicals",62915,"Saturated Acyclic Monocarboxylic Acids",27.000000000000004
6,"Chemical Products",629,"Organic chemicals",62916,"Unsaturated Acyclic Monocarboxylic Acids",1
6,"Chemical Products",629,"Organic chemicals",62934,"Nucleic Acids",16
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",10
6,"Chemical Products",630,"Pharmaceutical products",63001,"Glands and Other Organs",285
6,"Chemical Products",630,"Pharmaceutical products",63002,"Blood, antisera, vaccines, toxins and cultures",13847.000000000002
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",3861
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",6229
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",19523
6,"Chemical Products",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63213,"Artistry Paints",114
6,"Chemical Products",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63215,"Ink",1598
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63301,"Essential Oils",41510
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63302,"Scented Mixtures",26068
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63303,"Perfumes",25447
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",1846520
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63305,"Hair Products",33496
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63307,"Shaving Products",12876
6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63401,"Soap",23410.999999999996
6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63402,"Cleaning Products",17925.999999999996
6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63403,"Lubricating Products",151
6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63506,"Glues",18.000000000000004
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",122
6,"Chemical Products",638,"Chemical products n.e.s.",63816,"Refractory Cements",10
6,"Chemical Products",638,"Chemical products n.e.s.",63819,"Hydraulic Brake Fluid",172
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",7862
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",56615
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73905,"Other Vinyl Polymers",6652
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73910,"Silicone",3884
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73913,"Natural Polymers",362003.00000000006
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73921,"Other Plastic Sheetings",6.999999999999999
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73923,"Plastic Lids",10032
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73924,"Plastic Housewares",3201
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73925,"Plastic Building Materials",1315
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73926,"Other Plastic Products",24153
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74009,"Rubber Pipes",351.00000000000006
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74016,"Other Rubber Products",505
8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84202,"Trunks and Cases",4103
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94407,"Sawn Wood",50
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94414,"Wood Frames",1378
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94415,"Wood Crates",1195
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94419,"Wood Kitchenware",351
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94420,"Wood Ornaments",45082
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94421,"Other Wood Articles",53499
9,"Wood Products",946,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",94601,"Plaiting Products",60
9,"Wood Products",946,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",94602,"Basketwork",561
10,"Paper Goods",1047,"Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard",104707,"Recovered Paper",476363
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104811,"Cellulose Fibers Paper",15894
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104817,"Letter Stock",455
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104818,"Toilet Paper",46
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104819,"Paper Containers",1347.9999999999998
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104821,"Paper Labels",5400
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104901,"Brochures",47368
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104902,"Newspapers",548.9999999999999
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104905,"Maps",2110
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104907,"Postage Stamps",19701
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104909,"Postcards",27.000000000000004
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104911,"Other Printed Material",23494
11,"Textiles",1152,"Cotton",115208,"Light Pure Woven Cotton",1763
11,"Textiles",1154,"Man-made filaments",115407,"Synthetic Filament Yarn Woven Fabric",1
11,"Textiles",1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",115608,"Netting",6182
11,"Textiles",1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",115609,"Other Articles of Twine and Rope",136
11,"Textiles",1158,"Woven fabrics",115806,"Narrow Woven Fabric",1807
11,"Textiles",1158,"Woven fabrics",115807,"Labels",65
11,"Textiles",1158,"Woven fabrics",115811,"Quilted Textiles",28.999999999999996
11,"Textiles",1160,"Knitted or chrocheted fabrics",116002,"Light Rubberized Knitted Fabric",9.000000000000002
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116102,"Knit Women's Coats",613
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116103,"Knit Men's Suits",95
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116104,"Knit Women's Suits",991
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116105,"Knit Men's Shirts",343
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116109,"Knit T-shirts",3882
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116110,"Knit Sweaters",23
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116111,"Knit Babies' Garments",19
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116112,"Knit Active Wear",20
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116113,"Garments of Impregnated Fabric",512
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116114,"Other Knit Garments",1842
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116115,"Knit Socks and Hosiery",123
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116117,"Other Knit Clothing Accessories",2172
11,"Textiles",1162,"Non-knit or crocheted apparel and clothing accessories",116203,"Non-Knit Men's Suits",491
11,"Textiles",1162,"Non-knit or crocheted apparel and clothing accessories",116204,"Non-Knit Women's Suits",3752
11,"Textiles",1162,"Non-knit or crocheted apparel and clothing accessories",116205,"Non-Knit Men's Shirts",2066
11,"Textiles",1162,"Non-knit or crocheted apparel and clothing accessories",116206,"Non-Knit Women's Shirts",2894
11,"Textiles",1162,"Non-knit or crocheted apparel and clothing accessories",116210,"Felt or Coated Fabric Garments",483
11,"Textiles",1162,"Non-knit or crocheted apparel and clothing accessories",116211,"Non-Knit Active Wear",7254
