"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",17038
1,"Animal Products",101,"Live animals",10103,"Pigs",7900
1,"Animal Products",101,"Live animals",10105,"Poultry",317405
1,"Animal Products",101,"Live animals",10106,"Other Animals",47597
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",17684898
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",17826949
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",7864355
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",4960420
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",1998435
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",21585723
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",76846
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",38482
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",2560391
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",9087
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",223514
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",5548166
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",481768
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1133041
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",417079
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",894783
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",8789439
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",4728613
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",892056
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",168340
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",9037019
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",14802291
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",475516.00000000006
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",39519
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",4877
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",88204
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",315161
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",2710
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10506,"Processed Bones",5211
