"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10102,"Bovine",39288.00000000001
1,"Animal Products",101,"Live animals",10105,"Poultry",24510
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",196272
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",31769
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",33521
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",2168761
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",33243
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",6103
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",6002804
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",5495
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",13040
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",5119
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",44943.99999999999
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1709723
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",86386.00000000001
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",2937
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",61622
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",12457
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",72514
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10502,"Pig Hair",7485
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",28941
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",300
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",494
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",160023
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",63766.00000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",1903
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",21321
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",650.9999999999999
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",7294
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",87461
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",6278
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",46123.00000000001
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",2624
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",35756
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",3600
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",4367
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",51636
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",2347
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",555
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",1515
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",1092
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",194754
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20903,"Maté",68
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",2235
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",65
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",888.0000000000001
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",42202
2,"Vegetable Products",210,"Cereals",21005,"Corn",1521.9999999999998
2,"Vegetable Products",210,"Cereals",21006,"Rice",6463576
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",1644909
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",9355
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",1578
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",8972
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",3854
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",2166
