"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",3637
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",539574
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1170817.0000000002
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",49833
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",23830
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",5162697
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",2264.0000000000005
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",726425
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",3381490
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",116
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1261
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",10840
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",5334.999999999999
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",557743
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",148574
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",22156
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",111281
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",602069.0000000001
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",452
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",142
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",27.000000000000004
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",20395
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",13.999999999999998
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",24830
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",30136
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",452
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",371
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",1641
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",1071
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",472310
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",1245
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",245
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",21349
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",238.99999999999997
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",1832
2,"Vegetable Products",210,"Cereals",21006,"Rice",3032041
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",413436
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",66071
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",10848
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,"Wheat Gluten",129
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21202,"Ground Nuts",226
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",900
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",8545
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21214,"Forage Crops",4207
2,"Vegetable Products",214,"Vegetable plaiting materials",21404,"Other Vegetable Products",5722
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31501,"Pig and Poultry Fat",8288
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31506,"Other Animal Fats",29355.999999999996
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31507,"Soybean Oil",12630
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31511,"Palm Oil",252714
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31513,"Coconut Oil",25656
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31514,"Rapeseed Oil",3002
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31515,"Other Pure Vegetable Oils",193121
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31516,"Other Vegetable Oils",62412.00000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31517,"Margarine",28752
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31518,"Inedible Fats and Oils",9320
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41601,"Sausages",350198
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41602,"Other Prepared Meat",3634865
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,"Processed Fish",3119298
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,"Processed Crustaceans",13422
4,"Foodstuffs",417,"Sugars and sugar confectionery",41701,"Raw Sugar",854095
4,"Foodstuffs",417,"Sugars and sugar confectionery",41704,"Confectionery Sugar",58621
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41805,"Cocoa Powder",106
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41806,"Chocolate",40329
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41901,"Malt Extract",688902
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41902,"Pasta",1856015
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41904,"Prepared Cereals",1089520.9999999998
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,"Baked Goods",1656305
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42001,"Pickled Foods",575
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42002,"Processed Tomatoes",64
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42003,"Processed Mushrooms",2049
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42004,"Other Frozen Vegetables",5291.000000000001
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,"Other Processed Vegetables",1621984
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42006,"Sugar Preserved Foods",3999.0000000000005
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,"Jams",7642
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",938158
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",104218.99999999999
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",678147
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",20767
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",848089
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",80427
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",950816
