"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",32470.000000000004
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",59030
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",259396
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",20272
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",763478.9999999999
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",74.00000000000001
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10501,"Human Hair",963
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",19257
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21203,"Copra",47
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",29344
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",748
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,"Processed Fish",7644
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,"Processed Crustaceans",1045
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41806,"Chocolate",18569.000000000004
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",13.000000000000002
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52510,"Calcium Phosphates",7421985
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52512,"Siliceous Fossil Meals",272
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",4128
6,"Chemical Products",629,"Organic chemicals",62922,"Oxygen Amino Compounds",998
6,"Chemical Products",629,"Organic chemicals",62933,"Nitrogen Heterocyclic Compounds",504
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",33323
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",153
6,"Chemical Products",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63204,"Synthetic Coloring Matter",6512
6,"Chemical Products",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63214,"Glaziers Putty",3433.9999999999995
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",6917
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63305,"Hair Products",3607
6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63402,"Cleaning Products",284
6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63506,"Glues",14405
6,"Chemical Products",638,"Chemical products n.e.s.",63802,"Activated Carbon",548.9999999999999
6,"Chemical Products",638,"Chemical products n.e.s.",63821,"Micro-Organism Culture Preparations",7094.000000000001
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",25969
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",11662
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73902,"Propylene Polymers",178672
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73903,"Styrene Polymers",51
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73906,"Acrylic Polymers",2813
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73907,"Polyacetals",90009
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73915,"Scrap Plastic",114345
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73917,"Plastic Pipes",5991.000000000001
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73922,"Plastic Wash Basins",210
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73923,"Plastic Lids",66693
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73924,"Plastic Housewares",3670
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73925,"Plastic Building Materials",3798
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73926,"Other Plastic Products",60686
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74001,"Rubber",320
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74005,"Compounded Unvulcanised Rubber",4785
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74009,"Rubber Pipes",582
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74010,"Rubber Belting",2848
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74011,"Rubber Tires",5276
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74012,"Used Rubber Tires",193.99999999999997
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74016,"Other Rubber Products",10028
8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84201,"Saddlery",9299
8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84202,"Trunks and Cases",149821
8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84203,"Leather Apparel",251173
8,"Animal Hides",843,"Furskins and artificial fur; manufactures thereof",84303,"Furskin Apparel",3865.0000000000005
8,"Animal Hides",843,"Furskins and artificial fur; manufactures thereof",84304,"Artificial Fur",1262
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94407,"Sawn Wood",7859
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94410,"Particle Board",2726.0000000000005
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94411,"Wood Fiberboard",3123.9999999999995
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94415,"Wood Crates",9.000000000000002
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94421,"Other Wood Articles",5397
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104811,"Cellulose Fibers Paper",3457
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104812,"Paper Pulp Filter Blocks",1620
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104817,"Letter Stock",46
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104819,"Paper Containers",307
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104821,"Paper Labels",2333
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104901,"Brochures",478
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104902,"Newspapers",5
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104910,"Calendars",2
10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104911,"Other Printed Material",299
11,"Textiles",1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",115603,"Non-woven Textiles",3818
11,"Textiles",1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",115608,"Netting",142
11,"Textiles",1158,"Woven fabrics",115807,"Labels",1426.9999999999998
11,"Textiles",1159,"Textile fabrics",115910,"Conveyor Belt Textiles",316
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116101,"Knit Men's Coats",1107
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116102,"Knit Women's Coats",2296.9999999999995
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116103,"Knit Men's Suits",46880
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116104,"Knit Women's Suits",41339
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116105,"Knit Men's Shirts",16922
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116106,"Knit Women's Shirts",39182
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116107,"Knit Men's Undergarments",381
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116108,"Knit Women's Undergarments",493
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116109,"Knit T-shirts",75814
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116110,"Knit Sweaters",124083
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116111,"Knit Babies' Garments",23078.000000000004
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116112,"Knit Active Wear",5622
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116114,"Other Knit Garments",1676
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116115,"Knit Socks and Hosiery",650
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116116,"Knit Gloves",239
11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116117,"Other Knit Clothing Accessories",14778.000000000002
