"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10102,"Bovine",1269.0000000000002
1,"Animal Products",101,"Live animals",10105,"Poultry",6700
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",59383
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",796924
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",218428
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",529279
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",38961
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1217672
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",25271
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",13797.000000000002
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",37940
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",7727
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",78397
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",458.99999999999994
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",54352
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",6495.999999999999
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",53230
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",415705
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",5465
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",166.99999999999997
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",149321
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",82497
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",270482
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",4104
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",1350
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",439
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",7194
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",62371
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",85447
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",57413
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",14680
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",3883
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",9764
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",6409
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",832
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",116226.00000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",105395
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",1704
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",8384
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",8799
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",8697
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",15932
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",105
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",2358
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",21228
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",183959
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",11400
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",8493
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",152480
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",350
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",4861
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",4298
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",6006
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",191303
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",38383
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",30
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",136
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",382
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",413
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",6959
2,"Vegetable Products",210,"Cereals",21005,"Corn",16
2,"Vegetable Products",210,"Cereals",21006,"Rice",33035
