"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",6590
1,"Animal Products",101,"Live animals",10106,"Other Animals",13982
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",83074
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",241408
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",2663895
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",961
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",356109
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",12328
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1434836
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",707214
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",2352
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",19093
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1668.0000000000002
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",4013
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",3889
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10510,"Pharmaceutical Animal Products",2495
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",744
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",44.00000000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",83328
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",2115
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",208
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",547.9999999999999
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",3367
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",35
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2075907
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",46
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",221772
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",971
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",9100
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",571
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",7207.999999999999
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",12521
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",118039.00000000001
