Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Trade Value
1,Animal Products,101,Live animals,10101,Horses,50903
1,Animal Products,101,Live animals,10106,Other Animals,20659
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,961
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,33377
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,7540
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,28067
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,7420
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,191172
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,2101388
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,306056
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,477609
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,3319
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,3054026
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,470695
1,Animal Products,104,Dairy products and other edible products of animal origin,10402,Concentrated Milk,113
1,Animal Products,104,Dairy products and other edible products of animal origin,10405,Butter,99334
1,Animal Products,104,Dairy products and other edible products of animal origin,10409,Honey,11175
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10507,Raw Bones,142632
2,Vegetable Products,206,Trees and other live plants,20603,Cut Flowers,1480
2,Vegetable Products,206,Trees and other live plants,20604,Foliage,245
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20703,Onions,65
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20709,Other Vegetables,1735148
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20710,Frozen Vegetables,3478
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20714,Cassava,8168
