"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",110818.00000000001
1,"Animal Products",101,"Live animals",10105,"Poultry",40681
1,"Animal Products",101,"Live animals",10106,"Other Animals",62710
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",10769091
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",5320054
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1832628
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",3625608
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",251921
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",16223588
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",14210
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",98651.00000000001
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",1224778
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",58520.99999999999
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",39029
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",917457
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",1129245
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",568985
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",26268
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1640145
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",6906998
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",8241790
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",447016
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",87002.00000000001
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",4391454
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",17245640
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",1062314
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",232159.99999999997
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",62563
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",64
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",270455
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",237
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",259411
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",134803
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",274573
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",278791
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",6371
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",1043528.9999999999
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",1079289
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",1396648
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",658331
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",39059
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",564903
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",15050.999999999998
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",17200
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",849468
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",1870860
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",69217
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",153803
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",719489
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",5694
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",28765
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",498632
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",552.9999999999999
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",254232
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",1153201
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",949248
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",258803.00000000003
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",2838015
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",770688
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",874419
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",82717
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",458378
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",2839545
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",857057
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20903,"Maté",975
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",246820
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",3623
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",240
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",3578
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",4101
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",504633.00000000006
2,"Vegetable Products",210,"Cereals",21001,"Wheat",7406860
2,"Vegetable Products",210,"Cereals",21003,"Barley",84304
2,"Vegetable Products",210,"Cereals",21004,"Oats",14987
2,"Vegetable Products",210,"Cereals",21005,"Corn",401694
2,"Vegetable Products",210,"Cereals",21006,"Rice",4154714.0000000005
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",11149
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",79512
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",204691
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",178263
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",1076825
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",24522
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",260100.00000000003
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",152023
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,"Malt",1297284
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",18464
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,"Wheat Gluten",306057
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21201,"Soybeans",3563
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21204,"Linseed",988
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21205,"Rapeseed",11972.000000000002
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21206,"Sunflower Seeds",10140
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",75433
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",1698139
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21210,"Hops",2210
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",27925
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21212,"Locust beans, seaweed, sugar beet, cane, for food",17021
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21213,"Cereal Straws",5765
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21214,"Forage Crops",141488
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21301,"Insect Resins",15722
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21302,"Vegetable Saps",55723
2,"Vegetable Products",214,"Vegetable plaiting materials",21401,"Vegetable Plaiting Materials",24903.000000000004
2,"Vegetable Products",214,"Vegetable plaiting materials",21404,"Other Vegetable Products",30520
