"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",21552
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",61236.99999999999
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",4272
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",598
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",159
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",1819
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",1002
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41806,"Chocolate",7337.999999999999
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",195351
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",3053
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",405
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42309,"Animal Food",20503
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52526,"Soapstone",201
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2102
6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62811,"Other Inorganic Acids",163.99999999999997
6,"Chemical Products",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63204,"Synthetic Coloring Matter",11197.000000000002
6,"Chemical Products",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63215,"Ink",1657
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63302,"Scented Mixtures",6890
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",13689
6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63402,"Cleaning Products",10917
6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63403,"Lubricating Products",33541
6,"Chemical Products",637,"Photographic or cinematographic goods",63707,"Photographic Chemicals",10
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",988
6,"Chemical Products",638,"Chemical products n.e.s.",63812,"Prepared Rubber Accelerators",7075
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",9.000000000000002
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",38631
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73917,"Plastic Pipes",541
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73920,"Raw Plastic Sheeting",10159
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73921,"Other Plastic Sheetings",1705
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73922,"Plastic Wash Basins",38421
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73923,"Plastic Lids",6606
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73924,"Plastic Housewares",1139
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73926,"Other Plastic Products",12780
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74009,"Rubber Pipes",53
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74011,"Rubber Tires",2795
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74012,"Used Rubber Tires",4401
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74016,"Other Rubber Products",9078
8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84202,"Trunks and Cases",19181
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94415,"Wood Crates",220
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104805,"Other Uncoated Paper",2938.9999999999995
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104821,"Paper Labels",4820
10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104823,"Shaped Paper",1192
