"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",17486
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",56052
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",24847
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",77055
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",267656
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",20658
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",4995
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",93725
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",820
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",3720
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",16631
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",4403
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",127857
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",31246
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",24540
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",36749
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",40911
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",35707
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",68
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",9939
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",2356.9999999999995
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",6300
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",8558
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",32
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",3443
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",592.0000000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",3647
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",11206
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",13376
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",393.99999999999994
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",67
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",1785
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",9747
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",7064
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",27540
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",8059
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",318
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",20864
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",393.99999999999994
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",1955
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",1157
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20812,"Preserved Fruits and Nuts",3052
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",2291
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",20128
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",12953
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",576
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",108.00000000000001
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",7618
2,"Vegetable Products",210,"Cereals",21005,"Corn",3566.9999999999995
2,"Vegetable Products",210,"Cereals",21006,"Rice",21494
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",91.00000000000001
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",41669
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",1964
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",22.000000000000004
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",620
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",100.99999999999999
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",2586.0000000000005
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21202,"Ground Nuts",1405
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21206,"Sunflower Seeds",28.999999999999996
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",237
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",1011.0000000000001
2,"Vegetable Products",214,"Vegetable plaiting materials",21404,"Other Vegetable Products",1136
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31501,"Pig and Poultry Fat",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31503,"Lard",159
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31507,"Soybean Oil",13265.999999999998
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31508,"Ground Nut Oil",1115.9999999999998
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31509,"Pure Olive Oil",13095
