"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",46184
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",12643
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",3417382
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",272615941
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",9861402.000000002
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",405807
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",10210566
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",3148968
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",156220
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",1623.0000000000002
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10507,"Raw Bones",4270
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",350973
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",53776.99999999999
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",53
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",897
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",157
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",85
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",2373
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",8498
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",367.00000000000006
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",1412
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",7486
