Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Trade Value
1,Animal Products,101,Live animals,10101,Horses,420
1,Animal Products,101,Live animals,10106,Other Animals,50
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,10460
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,33979
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,9142
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,137846
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,218387016
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,114396
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,1333734
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,11764922
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,51363
1,Animal Products,104,Dairy products and other edible products of animal origin,10402,Concentrated Milk,110
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10507,Raw Bones,3648
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10508,Coral and Shells,441676
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10511,Other Inedible Animal Products,2823
2,Vegetable Products,206,Trees and other live plants,20603,Cut Flowers,203
2,Vegetable Products,206,Trees and other live plants,20604,Foliage,1618
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20701,Potatoes,238
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20702,Tomatoes,289
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20704,Cabbages,4282
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20708,Legumes,206
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20709,Other Vegetables,5995
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20711,Preserved Vegetables,537
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20713,Dried Legumes,18628
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",13
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,Other Fruits,553
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,Dried Fruits,138
2,Vegetable Products,209,"Coffee, tea, mate and spices",20901,Coffee,144000265
2,Vegetable Products,209,"Coffee, tea, mate and spices",20902,Tea,607876
2,Vegetable Products,209,"Coffee, tea, mate and spices",20905,Vanilla,37985232
2,Vegetable Products,209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",6817
2,Vegetable Products,209,"Coffee, tea, mate and spices",20910,Spices,44685
2,Vegetable Products,210,Cereals,21001,Wheat,373216
