"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10105,"Poultry",784675
1,"Animal Products",101,"Live animals",10106,"Other Animals",5106
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",787044
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",13920041
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",11467403
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",49983070
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",14014034
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",19707356
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",811762
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",3595
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",117263
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",14193148
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",2585907
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",168879
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",217996
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",269079
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",7483923
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",6484101
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",5077088
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",491524
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",3025422.9999999995
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",3912112
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",758934
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",1512
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",360369.00000000006
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",972230
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10506,"Processed Bones",5213.999999999999
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",2511
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",1457965
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",522
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",72754
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",13742.000000000002
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",2489
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",143848
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",88580.99999999999
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",2454832
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",287087
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",76189
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",340365
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",13468
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",22157
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",547234
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",1333173
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",57836
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",198584
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",108918
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",11885
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",32720
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",67492
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",375
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",40236
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",1794826
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",415855
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",279567.99999999994
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",3352184
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",58546
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",127503.00000000001
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",41421
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",173421
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20814,"Citrus and Melon Peels",132
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",1644454
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",317275
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20903,"Maté",185
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",47067
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",23088
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",2873
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",720
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",2187
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",3118
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",330923
2,"Vegetable Products",210,"Cereals",21001,"Wheat",54326547
2,"Vegetable Products",210,"Cereals",21003,"Barley",228425
2,"Vegetable Products",210,"Cereals",21004,"Oats",2980
2,"Vegetable Products",210,"Cereals",21005,"Corn",920149
2,"Vegetable Products",210,"Cereals",21006,"Rice",68404856
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",184956
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",5754
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",9397227
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",132219
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",1687702
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",158221
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",99773
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",212761
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,"Malt",3300463
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",253598
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,"Wheat Gluten",269898
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21201,"Soybeans",1101455
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21202,"Ground Nuts",24924
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21204,"Linseed",54.00000000000001
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21206,"Sunflower Seeds",97
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",223719
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21208,"Oil Seed Flower",5310367
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",954517
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21210,"Hops",3742
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",24353
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21212,"Locust beans, seaweed, sugar beet, cane, for food",111438
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21214,"Forage Crops",28660.999999999996
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21301,"Insect Resins",58644
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21302,"Vegetable Saps",316374
2,"Vegetable Products",214,"Vegetable plaiting materials",21401,"Vegetable Plaiting Materials",11274
2,"Vegetable Products",214,"Vegetable plaiting materials",21404,"Other Vegetable Products",32457
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31502,"Bovine, Sheep, and Goat Fat",33749
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31505,"Wool Grease",1150
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31506,"Other Animal Fats",1838
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31507,"Soybean Oil",2448533.9999999995
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31508,"Ground Nut Oil",6443
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31509,"Pure Olive Oil",530175
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31510,"Olive Oil",46534
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31511,"Palm Oil",28378384
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31512,"Seed Oils",1198395
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31513,"Coconut Oil",50749
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31514,"Rapeseed Oil",102592
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31515,"Other Pure Vegetable Oils",48944
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31516,"Other Vegetable Oils",269192.99999999994
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31517,"Margarine",7312969
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31518,"Inedible Fats and Oils",35982
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31519,"Stearic Acid",39552
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31520,"Glycerol",317695
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31521,"Waxes",2238
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41601,"Sausages",1701732
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41602,"Other Prepared Meat",12874399
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41603,"Animal Extracts",105155
