"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10301,"Live Fish",352145.99999999994
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",21941.999999999996
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",30454
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",6239
2,"Vegetable Products",210,"Cereals",21004,"Oats",17249.000000000004
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",27.000000000000004
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",183
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",196
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",8847.000000000002
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",9569
6,"Chemical Products",630,"Pharmaceutical products",63003,"Unpackaged Medicaments",1226
6,"Chemical Products",638,"Chemical products n.e.s.",63804,"Wood Pulp Lyes",1244
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",89272
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73915,"Scrap Plastic",21521
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",6491.000000000001
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73922,"Plastic Wash Basins",24
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",434
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",192.00000000000003
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",597
9,"Wood Products",944,"Wood, wood articles, & charcoal",94418,"Wood Carpentry",33472
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2
10,"Paper Goods",1049,"Books, newspapers, & other prints",104902,"Newspapers",80
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115609,"Other Articles of Twine and Rope",135
11,"Textiles",1159,"Coated, covered, & laminated fabrics for industrial use",115909,"Hose Piping Textiles",181.00000000000003
11,"Textiles",1160,"Knitted fabrics",116002,"Light Rubberized Knitted Fabric",4
11,"Textiles",1161,"Knitted clothing accesories",116102,"Knit Women's Coats",1518
11,"Textiles",1161,"Knitted clothing accesories",116103,"Knit Men's Suits",492.00000000000006
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",1787
11,"Textiles",1161,"Knitted clothing accesories",116105,"Knit Men's Shirts",410
11,"Textiles",1161,"Knitted clothing accesories",116106,"Knit Women's Shirts",400
11,"Textiles",1161,"Knitted clothing accesories",116107,"Knit Men's Undergarments",238.00000000000003
11,"Textiles",1161,"Knitted clothing accesories",116108,"Knit Women's Undergarments",347
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",17381
11,"Textiles",1161,"Knitted clothing accesories",116110,"Knit Sweaters",4106
11,"Textiles",1161,"Knitted clothing accesories",116111,"Knit Babies' Garments",17
11,"Textiles",1161,"Knitted clothing accesories",116113,"Garments of Impregnated Fabric",531
11,"Textiles",1161,"Knitted clothing accesories",116114,"Other Knit Garments",1828
11,"Textiles",1161,"Knitted clothing accesories",116116,"Knit Gloves",335
11,"Textiles",1161,"Knitted clothing accesories",116117,"Other Knit Clothing Accessories",77
11,"Textiles",1162,"Non-knitted clothing accesories",116201,"Non-Knit Men's Coats",720.0000000000001
11,"Textiles",1162,"Non-knitted clothing accesories",116202,"Non-Knit Women's Coats",639
11,"Textiles",1162,"Non-knitted clothing accesories",116203,"Non-Knit Men's Suits",625
11,"Textiles",1162,"Non-knitted clothing accesories",116204,"Non-Knit Women's Suits",20820
11,"Textiles",1162,"Non-knitted clothing accesories",116205,"Non-Knit Men's Shirts",824.0000000000001
11,"Textiles",1162,"Non-knitted clothing accesories",116206,"Non-Knit Women's Shirts",6312
11,"Textiles",1162,"Non-knitted clothing accesories",116208,"Non-Knit Women's Undergarments",190
11,"Textiles",1162,"Non-knitted clothing accesories",116209,"Non-Knit Babies' Garments",182
11,"Textiles",1162,"Non-knitted clothing accesories",116210,"Felt or Coated Fabric Garments",6875
11,"Textiles",1162,"Non-knitted clothing accesories",116211,"Non-Knit Active Wear",9111
11,"Textiles",1162,"Non-knitted clothing accesories",116212,"Other Women's Undergarments",99
11,"Textiles",1162,"Non-knitted clothing accesories",116214,"Scarves",341
11,"Textiles",1162,"Non-knitted clothing accesories",116217,"Other Non-Knit Clothing Accessories",113
11,"Textiles",1163,"Used clothes & textile articles",116302,"House Linens",22545
11,"Textiles",1163,"Used clothes & textile articles",116306,"Awnings, Tents, and Sails",108.00000000000001
12,"Footwear and Headwear",1264,"Footwear",126402,"Rubber Footwear",585
12,"Footwear and Headwear",1264,"Footwear",126403,"Leather Footwear",48566
12,"Footwear and Headwear",1264,"Footwear",126404,"Textile Footwear",187
12,"Footwear and Headwear",1264,"Footwear",126405,"Other Footwear",380.00000000000006
12,"Footwear and Headwear",1265,"Headgear",126505,"Knitted Hats",52.00000000000001
13,"Stone And Glass",1369,"Ceramic products",136913,"Ornamental Ceramics",3188.9999999999995
13,"Stone And Glass",1370,"Glass & glassware",137017,"Laboratory Glassware",462.99999999999994
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147116,"Pearl Products",158
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147117,"Imitation Jewellery",594
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147118,"Coin",19262
15,"Metals",1572,"Iron & steel",157204,"Scrap Iron",306659
15,"Metals",1573,"Iron or steel articles",157318,"Iron Fasteners",87
15,"Metals",1574,"Copper articles",157404,"Scrap Copper",119612.00000000001
15,"Metals",1576,"Aluminum articles",157602,"Scrap Aluminium",130783.00000000001
15,"Metals",1581,"Cermet articles",158112,"Other Metals",10306
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168409,"Engine Parts",6109
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168413,"Liquid Pumps",3911
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168414,"Air Pumps",354
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168421,"Centrifuges",1092
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168471,"Computers",3787536
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168473,"Office Machine Parts",145506
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168482,"Ball Bearings",121
16,"Machines",1685,"Electrical machinery and electronics",168504,"Electrical Transformers",81
16,"Machines",1685,"Electrical machinery and electronics",168511,"Electrical Ignitions",13.999999999999998
16,"Machines",1685,"Electrical machinery and electronics",168512,"Electrical Lighting and Signalling Equipment",40
16,"Machines",1685,"Electrical machinery and electronics",168521,"Video Recording Equipment",2435
16,"Machines",1685,"Electrical machinery and electronics",168523,"Blank Audio Media",14754.999999999998
16,"Machines",1685,"Electrical machinery and electronics",168525,"Broadcasting Equipment",30956.999999999996
16,"Machines",1685,"Electrical machinery and electronics",168526,"Navigation Equipment",23295
16,"Machines",1685,"Electrical machinery and electronics",168528,"Video Displays",1555
16,"Machines",1685,"Electrical machinery and electronics",168531,"Audio Alarms",115.99999999999999
16,"Machines",1685,"Electrical machinery and electronics",168536,"Low-voltage Protection Equipment",10786
16,"Machines",1685,"Electrical machinery and electronics",168542,"Integrated Circuits",391
16,"Machines",1685,"Electrical machinery and electronics",168543,"Other Electrical Machinery",188.99999999999997
16,"Machines",1685,"Electrical machinery and electronics",168544,"Insulated Wire",3611
17,"Transportation",1787,"Cars, tractors, trucks & parts thereof.",178708,"Motor vehicles; parts and accessories (8701 to 8705)",646
17,"Transportation",1789,"Ships, boats, & floating structures",178907,"Other Floating Structures",1110
17,"Transportation",1789,"Ships, boats, & floating structures",178908,"Scrap Vessels",7769651.999999999
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189004,"Eyewear",183
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189031,"Other Measuring Instruments",10603
20,"Miscellaneous",2094,"Furniture, bedding, lamps, & prefab buildings",209404,"Mattresses",1179
20,"Miscellaneous",2096,"Misc. manufactures",209603,"Brooms",15
21,"Arts and Antiques",2197,"Art & antiques",219705,"Collector's Items",7692
21,"Arts and Antiques",2197,"Art & antiques",219706,"Antiques",2066
