"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10102,"Bovine",148.00000000000003
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",132907
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",2030649
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",657316
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",34529
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",176049
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1296653
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",114.00000000000001
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",37.00000000000001
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",181500
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",20704
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",14755567
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",731276
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",94823
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",34301
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",267857
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",146106
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",474323
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",339379
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",200614
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",9921
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",63355
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",288499
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",650930
