Country,Tax excluded,Tax included,Tax
Australia,79.47712418,120.6535948,41.17647059
American Samoa,96.14379085,112.8104575,16.66666667
Fiji,84.70588235,125.5555556,40.8496732
New Zealand,104.3137255,190.5882353,86.2745098
PNG,88.30065359,115.0980392,26.79738562
Samoa,78.82352941,114.7712418,35.94771242
Solomon Islands,100.3921569,123.5947712,23.20261438
Vanuatu,101.0457516,151.372549,50.32679739
Cook Islands,133.3986928,174.9019608,41.50326797
Micronesia,114.4444444,118.0392157,3.594771242
Marshal Islands,145.8169935,154.3137255,8.496732026
Nauru,104.6405229,147.7777778,43.1372549
Tonga,94.50980392,141.2418301,46.73202614
Niue,173.2679739,202.0261438,28.75816993
