"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10106,"Other Animals",279
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",1547
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",5405
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",80481
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",80566
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",3613.0000000000005
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",43934
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",3996.0000000000005
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",1071
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",58575
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",4225
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",965824
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",12369397
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",253238
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",3510
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",9700
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",22170
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",23810
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",1414.9999999999998
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",4316
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",88.00000000000001
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",5142
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",922
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",5349
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10502,"Pig Hair",93.00000000000001
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",10
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",25
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10510,"Pharmaceutical Animal Products",62523.99999999999
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",235
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",178.00000000000003
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",10710.000000000002
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",522
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",7917.000000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",515
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",18499
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",438.99999999999994
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",71
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",67923
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",278424
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",69748
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",217
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",2614360
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",840553
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",3646.0000000000005
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",15755.999999999996
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",398
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",2011
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",1956.9999999999998
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",1280
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",1527
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",11208
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",102354
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",8199
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",173
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",15
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",920
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",1
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",2961
2,"Vegetable Products",210,"Cereals",21004,"Oats",552.9999999999999
2,"Vegetable Products",210,"Cereals",21006,"Rice",25714
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",352.00000000000006
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",1640
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",355.99999999999994
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",64
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",75667
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",50257
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",176.00000000000003
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21201,"Soybeans",107
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21203,"Copra",32836.99999999999
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",46158
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21208,"Oil Seed Flower",1080
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",11190
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21210,"Hops",949.0000000000001
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",17937
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21212,"Locust beans, seaweed, sugar beet, cane, for food",29391
2,"Vegetable Products",214,"Vegetable plaiting materials",21401,"Vegetable Plaiting Materials",118
2,"Vegetable Products",214,"Vegetable plaiting materials",21404,"Other Vegetable Products",6286
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31504,"Fish Oil",418
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31507,"Soybean Oil",2688.9999999999995
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31510,"Olive Oil",640.9999999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31513,"Coconut Oil",729977
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31515,"Other Pure Vegetable Oils",131
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31516,"Other Vegetable Oils",539
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31517,"Margarine",4394
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31519,"Stearic Acid",1940
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41601,"Sausages",3368.0000000000005
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41602,"Other Prepared Meat",167859
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,"Processed Fish",8759
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,"Processed Crustaceans",3
4,"Foodstuffs",417,"Sugars and sugar confectionery",41701,"Raw Sugar",4720
4,"Foodstuffs",417,"Sugars and sugar confectionery",41702,"Other Sugars",7601
4,"Foodstuffs",417,"Sugars and sugar confectionery",41704,"Confectionery Sugar",9826
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41801,"Cocoa Beans",216006
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41803,"Cocoa Paste",1462
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41804,"Cocoa Butter",4891
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41805,"Cocoa Powder",19648
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41806,"Chocolate",22681
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41901,"Malt Extract",54279
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41902,"Pasta",16005
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41903,"Tapioca",790.9999999999999
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41904,"Prepared Cereals",44029
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,"Baked Goods",185772
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42001,"Pickled Foods",1409
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42004,"Other Frozen Vegetables",367.00000000000006
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,"Other Processed Vegetables",11061
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42006,"Sugar Preserved Foods",1008
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,"Jams",2787
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",1564074
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",1803387.9999999998
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",7601.000000000001
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",5354
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",21267
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",456
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",217
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",147607
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42201,"Water",3377
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42202,"Flavored Water",40165
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42203,"Beer",1948255
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",7580
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42206,"Other Fermented Beverages",91523
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42207,"Alcohol > 80% ABV",37760
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",53754
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42306,"Other Vegetable Residues",337545
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42307,"Wine Lees",952.0000000000001
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42309,"Animal Food",14574.000000000002
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42402,"Rolled Tobacco",174544
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42403,"Processed Tobacco",13422
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52501,"Salt",10260
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52505,"Sand",826
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52516,"Granite",5242.000000000001
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52517,"Gravel and Crushed Stone",85753
