Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Trade Value
1,Animal Products,101,Live animals,10103,Pigs,2045
1,Animal Products,101,Live animals,10106,Other Animals,75
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,23999
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,17658
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,4486
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,42238
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,9934
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,109440
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,4084
1,Animal Products,102,Meat and edible meat offal,10209,Animal Fat,2114
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,6922
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,339105
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,11004256
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,4392284
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,706
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,1267
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,1727600
1,Animal Products,104,Dairy products and other edible products of animal origin,10401,Milk,33487
1,Animal Products,104,Dairy products and other edible products of animal origin,10402,Concentrated Milk,46899
1,Animal Products,104,Dairy products and other edible products of animal origin,10403,Fermented Milk Products,4156
1,Animal Products,104,Dairy products and other edible products of animal origin,10405,Butter,13200
1,Animal Products,104,Dairy products and other edible products of animal origin,10406,Cheese,1969
1,Animal Products,104,Dairy products and other edible products of animal origin,10407,Eggs,9089
1,Animal Products,104,Dairy products and other edible products of animal origin,10408,Processed Egg Products,5370
1,Animal Products,104,Dairy products and other edible products of animal origin,10410,Other Edible Animal Products,2690
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10505,Bird Feathers and Skins,234
2,Vegetable Products,206,Trees and other live plants,20602,Other Live Plants,37
2,Vegetable Products,206,Trees and other live plants,20603,Cut Flowers,151
2,Vegetable Products,206,Trees and other live plants,20604,Foliage,37
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20701,Potatoes,7193
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20702,Tomatoes,982
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20703,Onions,5057
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20704,Cabbages,1797
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20705,Lettuce,3124
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20706,Root Vegetables,8482
