"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10103,"Pigs",49985
1,"Animal Products",101,"Live animals",10105,"Poultry",103006
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",1810021
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",1300839
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1147209
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",4388806
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",73345
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",17212636
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",146395
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",94795
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",1304147
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",93134
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",4980338
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",133365
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",15622.999999999998
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",242456
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",111130
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",5793737
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1370984
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",303556
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",583875
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",2043549
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",980036
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",99042
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",128
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",2130
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",320
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10501,"Human Hair",1069
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",924
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",1057
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10507,"Raw Bones",8
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",9672
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",7472
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",30042.999999999996
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",11545
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",878.0000000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",752257.9999999999
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",113050.00000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",842695
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",257754
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",220374
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",214317.99999999997
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",315
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",59270
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",168402
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",163064
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",34201.00000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",120381
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",62314
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",5681
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",14505
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",115970.99999999999
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",8129
