Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Trade Value
1,Animal Products,101,Live animals,10105,Poultry,120191
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,622626
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,1388528
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,1329523
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,3680251
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,124846
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,17824873
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,202327
1,Animal Products,102,Meat and edible meat offal,10209,Animal Fat,131485
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,1169359
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,59381
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,7735924
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,107542
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,9962
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,302903
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,133816
1,Animal Products,104,Dairy products and other edible products of animal origin,10401,Milk,4379966
1,Animal Products,104,Dairy products and other edible products of animal origin,10402,Concentrated Milk,1672244
1,Animal Products,104,Dairy products and other edible products of animal origin,10403,Fermented Milk Products,287699
1,Animal Products,104,Dairy products and other edible products of animal origin,10404,Whey,587972
1,Animal Products,104,Dairy products and other edible products of animal origin,10405,Butter,2418441
1,Animal Products,104,Dairy products and other edible products of animal origin,10406,Cheese,1141712
1,Animal Products,104,Dairy products and other edible products of animal origin,10407,Eggs,253732
1,Animal Products,104,Dairy products and other edible products of animal origin,10408,Processed Egg Products,2300
1,Animal Products,104,Dairy products and other edible products of animal origin,10410,Other Edible Animal Products,1153
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10504,Animal Organs,7411
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10505,Bird Feathers and Skins,3159
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10507,Raw Bones,222
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10508,Coral and Shells,2265
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10511,Other Inedible Animal Products,20674
2,Vegetable Products,206,Trees and other live plants,20601,Bulbs and Roots,728
2,Vegetable Products,206,Trees and other live plants,20602,Other Live Plants,11520
2,Vegetable Products,206,Trees and other live plants,20603,Cut Flowers,16122
2,Vegetable Products,206,Trees and other live plants,20604,Foliage,1023
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20701,Potatoes,663718
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20702,Tomatoes,153139
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20703,Onions,1100782
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20704,Cabbages,250080
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20705,Lettuce,218353
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20706,Root Vegetables,186083
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20707,Cucumbers,2253
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20708,Legumes,2301
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20709,Other Vegetables,211220
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20710,Frozen Vegetables,281738
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20711,Preserved Vegetables,20322
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20712,Dried Vegetables,115787
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20713,Dried Legumes,4477
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20714,Cassava,8120
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",17306
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,Other Nuts,90196
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,Bananas,191
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,Tropical Fruits,3889
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,Citrus,388492
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,Grapes,60356
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,Melons,26711
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,Apples and Pears,439141
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,Pitted Fruits,5635
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,Other Fruits,17123
