"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-561","Primary Oil: Imports","Primary Oil",4,
"highcharts-q5740kz-562","Oil Products: Imports","Oil Products",34635,
"highcharts-q5740kz-563","Coal: Imports","Coal",4,
"highcharts-q5740kz-564","Electricity: Primary Production","Other Electricity & Heat",1810,
"highcharts-q5740kz-565","BioFuels: Primary Production","BioFuels",4871,
"highcharts-q5740kz-566","BioFuels","Other Transformation",63,
"highcharts-q5740kz-567","Primary Oil","Oil: Supplied",4,
"highcharts-q5740kz-568","Oil Products","Oil: Supplied",34635,
"highcharts-q5740kz-569","Stock Changes: Sec 2","Oil: Supplied",597,"#121212"
"highcharts-q5740kz-570","Statistical Diff: Sec 2","Oil: Supplied",8,"#121212"
"highcharts-q5740kz-571","Coal","Coal: Supplied",4,
"highcharts-q5740kz-572","Other Electricity & Heat","Other Electricity & Heat 3",1810,
"highcharts-q5740kz-573","BioFuels","BioFuels: Supplied",4806,
"highcharts-q5740kz-574","Oil: Supplied","PowerStations",4445,
"highcharts-q5740kz-575","BioFuels: Supplied","PowerStations",211,
"highcharts-q5740kz-576","PowerStations","Electricity & Heat: Supplied",1852,
"highcharts-q5740kz-577","Other Electricity & Heat 3","Electricity & Heat: Supplied",1810,
"highcharts-q5740kz-578","Oil: Supplied","Oil: Final Consumption",14238,
"highcharts-q5740kz-579","Oil: Supplied","Bunkers",3718,
"highcharts-q5740kz-580","Electricity & Heat: Supplied","Own Use",43,
"highcharts-q5740kz-581","Coal: Supplied","Coal: Final Consumption",4,
"highcharts-q5740kz-582","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",3248,
"highcharts-q5740kz-583","BioFuels: Supplied","BioFuels: Final Consumption",4596,
"highcharts-q5740kz-584","Oil: Supplied","Exports: Secondary",12843,
"highcharts-q5740kz-585","Exports","Export 6",2,
"highcharts-q5740kz-586","BioFuels","Exports",2,
"highcharts-q5740kz-587","Electricity & Heat: Supplied","Losses",371,"#808080"
"highcharts-q5740kz-588","PowerStations","Transformation Losses",2805,"#808080"
"highcharts-q5740kz-589","Oil: Final Consumption","Transport",9217,
"highcharts-q5740kz-590","Oil: Final Consumption","Manufacturing",3344,
"highcharts-q5740kz-591","Oil: Final Consumption","Households",1290,
"highcharts-q5740kz-592","Oil: Final Consumption","N.E.S",82,
"highcharts-q5740kz-593","Oil: Final Consumption","Non-Energy use",306,
"highcharts-q5740kz-594","Coal: Final Consumption","N.E.S",4,
"highcharts-q5740kz-595","Electricity & Heat: Final Consumption","Manufacturing",798,
"highcharts-q5740kz-596","Electricity & Heat: Final Consumption","Households",902,
"highcharts-q5740kz-597","Electricity & Heat: Final Consumption","Commerce",1498,
"highcharts-q5740kz-598","Electricity & Heat: Final Consumption","N.E.S",50,
"highcharts-q5740kz-599","BioFuels: Final Consumption","Manufacturing",4340,
"highcharts-q5740kz-600","BioFuels: Final Consumption","Households",256,
