"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-743","Oil Products: Imports","Oil Products",12288,
"highcharts-q5740kz-744","Electricity: Primary Production","Other Electricity & Heat",759,
"highcharts-q5740kz-745","Heat: Primary Production","Other Electricity & Heat",76,
"highcharts-q5740kz-746","BioFuels: Primary Production","BioFuels",42,
"highcharts-q5740kz-747","BioFuels: Imports","BioFuels",4,
"highcharts-q5740kz-748","BioFuels","Other Transformation",14,
"highcharts-q5740kz-749","Oil Products","Oil: Supplied",12288,
"highcharts-q5740kz-750","Other Electricity & Heat","Other Electricity & Heat 3",835,
"highcharts-q5740kz-751","BioFuels","BioFuels: Supplied",32,
"highcharts-q5740kz-752","Oil: Supplied","PowerStations",4349,
"highcharts-q5740kz-753","PowerStations","Electricity & Heat: Supplied",1692,
"highcharts-q5740kz-754","Other Electricity & Heat 3","Electricity & Heat: Supplied",835,
"highcharts-q5740kz-755","Oil: Supplied","Oil: Final Consumption",7872,
"highcharts-q5740kz-756","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",2372,
"highcharts-q5740kz-757","BioFuels: Supplied","BioFuels: Final Consumption",33,
"highcharts-q5740kz-758","Oil: Supplied","Stock Changes: Sec",68,
"highcharts-q5740kz-759","Electricity & Heat: Supplied","Losses",155,"#808080"
"highcharts-q5740kz-760","PowerStations","Transformation Losses",2656,"#808080"
"highcharts-q5740kz-761","Oil: Final Consumption","Transport",6829,
"highcharts-q5740kz-762","Oil: Final Consumption","Households",515,
"highcharts-q5740kz-763","Oil: Final Consumption","Agriculture",412,
"highcharts-q5740kz-764","Oil: Final Consumption","Non-Energy use",117,
"highcharts-q5740kz-765","Electricity & Heat: Final Consumption","Households",1339,
"highcharts-q5740kz-766","Electricity & Heat: Final Consumption","Commerce",1033,
"highcharts-q5740kz-767","BioFuels: Final Consumption","Households",33,
