"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-865","Oil Products: Imports","Oil Products",1041,
"highcharts-q5740kz-866","Electricity: Primary Production","Other Electricity & Heat",18,
"highcharts-q5740kz-867","BioFuels: Primary Production","BioFuels",542,
"highcharts-q5740kz-868","BioFuels","Other Transformation",10,
"highcharts-q5740kz-869","Oil Products","Oil: Supplied",1041,
"highcharts-q5740kz-870","Other Electricity & Heat","Other Electricity & Heat 3",18,
"highcharts-q5740kz-871","BioFuels","BioFuels: Supplied",532,
"highcharts-q5740kz-872","Oil: Supplied","PowerStations",301,
"highcharts-q5740kz-873","PowerStations","Electricity & Heat: Supplied",95,
"highcharts-q5740kz-874","Other Electricity & Heat 3","Electricity & Heat: Supplied",18,
"highcharts-q5740kz-875","Oil: Supplied","Oil: Final Consumption",713,
"highcharts-q5740kz-876","Oil: Supplied","Bunkers",27,
"highcharts-q5740kz-877","Electricity & Heat: Supplied","Own Use",6,
"highcharts-q5740kz-878","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",91,
"highcharts-q5740kz-879","BioFuels: Supplied","BioFuels: Final Consumption",532,
"highcharts-q5740kz-880","Electricity & Heat: Supplied","Losses",17,"#808080"
"highcharts-q5740kz-881","PowerStations","Transformation Losses",206,"#808080"
"highcharts-q5740kz-882","Oil: Final Consumption","Transport",445,
"highcharts-q5740kz-883","Oil: Final Consumption","Manufacturing",9,
"highcharts-q5740kz-884","Oil: Final Consumption","Households",104,
"highcharts-q5740kz-885","Oil: Final Consumption","Agriculture",117,
"highcharts-q5740kz-886","Oil: Final Consumption","Commerce",34,
"highcharts-q5740kz-887","Oil: Final Consumption","Non-Energy use",4,
"highcharts-q5740kz-888","Electricity & Heat: Final Consumption","Manufacturing",8,
"highcharts-q5740kz-889","Electricity & Heat: Final Consumption","Households",37,
"highcharts-q5740kz-890","Electricity & Heat: Final Consumption","Commerce",46,
"highcharts-q5740kz-891","BioFuels: Final Consumption","Households",532,
