Category, (from), (to), (weight), (color)
highcharts-q5740kz-644,Oil Products: Imports,Oil Products,38412,
highcharts-q5740kz-645,Electricity: Primary Production,Other Electricity & Heat,2071,
highcharts-q5740kz-646,BioFuels: Primary Production,BioFuels,4593,
highcharts-q5740kz-647,BioFuels: Imports,BioFuels,1,
highcharts-q5740kz-648,Statistical Diff,BioFuels,1,#66D066
highcharts-q5740kz-649,BioFuels,Other Transformation,63,
highcharts-q5740kz-650,Oil Products,Oil: Supplied,38412,
highcharts-q5740kz-651,Statistical Diff: Sec 2,Oil: Supplied,43,#121212
highcharts-q5740kz-652,Other Electricity & Heat,Other Electricity & Heat 3,2071,
highcharts-q5740kz-653,BioFuels,BioFuels: Supplied,4532,
highcharts-q5740kz-654,Oil: Supplied,PowerStations,4157,
highcharts-q5740kz-655,BioFuels: Supplied,PowerStations,443,
highcharts-q5740kz-656,PowerStations,Electricity & Heat: Supplied,1794,
highcharts-q5740kz-657,Other Electricity & Heat 3,Electricity & Heat: Supplied,2071,
highcharts-q5740kz-658,Oil: Supplied,Oil: Final Consumption,15357,
highcharts-q5740kz-659,Oil: Supplied,Bunkers,3912,
highcharts-q5740kz-660,Electricity & Heat: Supplied,Own Use,45,
highcharts-q5740kz-661,Electricity & Heat: Supplied,Electricity & Heat: Final Consumption,3420,
highcharts-q5740kz-662,BioFuels: Supplied,BioFuels: Final Consumption,4088,
highcharts-q5740kz-663,Oil: Supplied,Stock Changes: Sec,441,
highcharts-q5740kz-664,Electricity & Heat: Supplied,Statistical Diff: Secondary,1,
highcharts-q5740kz-665,Oil: Supplied,Exports: Secondary,14587,
highcharts-q5740kz-666,Electricity & Heat: Supplied,Losses,400,#808080
highcharts-q5740kz-667,PowerStations,Transformation Losses,2806,#808080
highcharts-q5740kz-668,Oil: Final Consumption,Transport,10176,
highcharts-q5740kz-669,Oil: Final Consumption,Manufacturing,3368,
highcharts-q5740kz-670,Oil: Final Consumption,Households,1295,
highcharts-q5740kz-671,Oil: Final Consumption,Commerce,95,
highcharts-q5740kz-672,Oil: Final Consumption,N.E.S,142,
highcharts-q5740kz-673,Oil: Final Consumption,Non-Energy use,281,
highcharts-q5740kz-674,Electricity & Heat: Final Consumption,Manufacturing,817,
highcharts-q5740kz-675,Electricity & Heat: Final Consumption,Households,961,
highcharts-q5740kz-676,Electricity & Heat: Final Consumption,Commerce,1537,
highcharts-q5740kz-677,Electricity & Heat: Final Consumption,N.E.S,104,
highcharts-q5740kz-678,BioFuels: Final Consumption,Manufacturing,3830,
highcharts-q5740kz-679,BioFuels: Final Consumption,Households,258,
