Category, (from), (to), (weight), (color)
highcharts-q5740kz-1925,Primary Oil: Production,Primary Oil,43214,
highcharts-q5740kz-1926,Primary Oil: Imports,Primary Oil,58732,
highcharts-q5740kz-1927,Oil Products: Imports,Oil Products,59360,
highcharts-q5740kz-1928,Natural Gas: Primary Production,Natural Gas,105639,
highcharts-q5740kz-1929,Electricity: Primary Production,Other Electricity & Heat,3347,
highcharts-q5740kz-1930,Heat: Primary Production,Other Electricity & Heat,16000,
highcharts-q5740kz-1931,BioFuels: Primary Production,BioFuels,72141,
highcharts-q5740kz-1932,Primary Oil,Oil Refineries,55963,
highcharts-q5740kz-1933,Primary Oil,Statistical Diff.,572,
highcharts-q5740kz-1934,Primary Oil,Stock Build,2198,
highcharts-q5740kz-1935,BioFuels,Other Transformation,264,
highcharts-q5740kz-1936,Oil Refineries,Oil: Supplied,53193,
highcharts-q5740kz-1937,Oil Products,Oil: Supplied,59360,
highcharts-q5740kz-1938,Statistical Diff: Sec 2,Oil: Supplied,88,#121212
highcharts-q5740kz-1939,Natural Gas,Natural Gas: Supplied,14877,
highcharts-q5740kz-1940,Other Electricity & Heat,Other Electricity & Heat 3,3347,
highcharts-q5740kz-1941,BioFuels,BioFuels: Supplied,71877,
highcharts-q5740kz-1942,Oil: Supplied,PowerStations,35565,
highcharts-q5740kz-1943,Natural Gas: Supplied,PowerStations,6331,
highcharts-q5740kz-1944,Other Electricity & Heat 3,PowerStations,16000,
highcharts-q5740kz-1945,BioFuels: Supplied,PowerStations,88,
highcharts-q5740kz-1946,PowerStations,Electricity & Heat: Supplied,30140,
highcharts-q5740kz-1947,Other Electricity & Heat 3,Electricity & Heat: Supplied,3347,
highcharts-q5740kz-1948,Oil: Supplied,Oil: Final Consumption,55981,
highcharts-q5740kz-1949,Oil: Supplied,Bunkers,2910,
highcharts-q5740kz-1950,Natural Gas: Supplied,Own Use,8546,
highcharts-q5740kz-1951,Electricity & Heat: Supplied,Own Use,210,
highcharts-q5740kz-1952,Electricity & Heat: Supplied,Electricity & Heat: Final Consumption,16178,
highcharts-q5740kz-1953,BioFuels: Supplied,BioFuels: Final Consumption,71789,
highcharts-q5740kz-1954,Oil: Supplied,Stock Changes: Sec,528,
highcharts-q5740kz-1955,Oil: Supplied,Statistical Diff: Secondary,359,
highcharts-q5740kz-1956,Oil: Supplied,Exports: Secondary,17299,
highcharts-q5740kz-1957,Exports,Export 6,133976,
highcharts-q5740kz-1958,Primary Oil,Exports,43214,
highcharts-q5740kz-1959,Natural Gas,Exports,90762,
highcharts-q5740kz-1960,Electricity & Heat: Supplied,Losses,1099,#808080
highcharts-q5740kz-1961,PowerStations,Transformation Losses,43843,#808080
highcharts-q5740kz-1962,Oil: Final Consumption,Transport,23911,
highcharts-q5740kz-1963,Oil: Final Consumption,Manufacturing,25058,
highcharts-q5740kz-1964,Oil: Final Consumption,Households,1506,
highcharts-q5740kz-1965,Oil: Final Consumption,Agriculture,4484,
highcharts-q5740kz-1966,Oil: Final Consumption,Commerce,1023,
highcharts-q5740kz-1967,Electricity & Heat: Final Consumption,Manufacturing,11870,
highcharts-q5740kz-1968,Electricity & Heat: Final Consumption,Households,3662,
highcharts-q5740kz-1969,Electricity & Heat: Final Consumption,Agriculture,258,
highcharts-q5740kz-1970,Electricity & Heat: Final Consumption,Commerce,388,
highcharts-q5740kz-1971,BioFuels: Final Consumption,Manufacturing,2989,
highcharts-q5740kz-1972,BioFuels: Final Consumption,Households,58469,
highcharts-q5740kz-1973,BioFuels: Final Consumption,Commerce,10331,
