Category, (from), (to), (weight), (color)
highcharts-q5740kz-2159,Oil Products: Imports,Oil Products,4813,
highcharts-q5740kz-2160,Electricity: Primary Production,Other Electricity & Heat,265,
highcharts-q5740kz-2161,Heat: Primary Production,Other Electricity & Heat,3,
highcharts-q5740kz-2162,BioFuels: Primary Production,BioFuels,1464,
highcharts-q5740kz-2163,BioFuels,Other Transformation,14,
highcharts-q5740kz-2164,Oil Products,Oil: Supplied,4813,
highcharts-q5740kz-2165,Statistical Diff: Sec 2,Oil: Supplied,2,#121212
highcharts-q5740kz-2166,Other Electricity & Heat,Other Electricity & Heat 3,268,
highcharts-q5740kz-2167,BioFuels,BioFuels: Supplied,1450,
highcharts-q5740kz-2168,Oil: Supplied,PowerStations,903,
highcharts-q5740kz-2169,PowerStations,Electricity & Heat: Supplied,344,
highcharts-q5740kz-2170,Other Electricity & Heat 3,Electricity & Heat: Supplied,268,
highcharts-q5740kz-2171,Oil: Supplied,Oil: Final Consumption,3064,
highcharts-q5740kz-2172,Oil: Supplied,Bunkers,532,
highcharts-q5740kz-2173,Electricity & Heat: Supplied,Own Use,1,
highcharts-q5740kz-2174,Electricity & Heat: Supplied,Electricity & Heat: Final Consumption,549,
highcharts-q5740kz-2175,BioFuels: Supplied,BioFuels: Final Consumption,1450,
highcharts-q5740kz-2176,Oil: Supplied,Stock Changes: Sec,275,
highcharts-q5740kz-2177,Oil: Supplied,Exports: Secondary,42,
highcharts-q5740kz-2178,Electricity & Heat: Supplied,Losses,62,#808080
highcharts-q5740kz-2179,PowerStations,Transformation Losses,559,#808080
highcharts-q5740kz-2180,Oil: Final Consumption,Transport,2275,
highcharts-q5740kz-2181,Oil: Final Consumption,Manufacturing,301,
highcharts-q5740kz-2182,Oil: Final Consumption,Households,145,
highcharts-q5740kz-2183,Oil: Final Consumption,Agriculture,44,
highcharts-q5740kz-2184,Oil: Final Consumption,Commerce,178,
highcharts-q5740kz-2185,Oil: Final Consumption,Non-Energy use,121,
highcharts-q5740kz-2186,Electricity & Heat: Final Consumption,Manufacturing,35,
highcharts-q5740kz-2187,Electricity & Heat: Final Consumption,Households,157,
highcharts-q5740kz-2188,Electricity & Heat: Final Consumption,Commerce,357,
highcharts-q5740kz-2189,BioFuels: Final Consumption,Households,1445,
highcharts-q5740kz-2190,BioFuels: Final Consumption,Agriculture,5,
