"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-2336","Oil Products: Imports","Oil Products",4684,
"highcharts-q5740kz-2337","Electricity: Primary Production","Other Electricity & Heat",18,
"highcharts-q5740kz-2338","BioFuels: Primary Production","BioFuels",3310,
"highcharts-q5740kz-2339","BioFuels","Other Transformation",37,
"highcharts-q5740kz-2340","Oil Products","Oil: Supplied",4684,
"highcharts-q5740kz-2341","Other Electricity & Heat","Other Electricity & Heat 3",18,
"highcharts-q5740kz-2342","BioFuels","BioFuels: Supplied",3273,
"highcharts-q5740kz-2343","Oil: Supplied","PowerStations",1027,
"highcharts-q5740kz-2344","BioFuels: Supplied","PowerStations",36,
"highcharts-q5740kz-2345","PowerStations","Electricity & Heat: Supplied",368,
"highcharts-q5740kz-2346","Other Electricity & Heat 3","Electricity & Heat: Supplied",18,
"highcharts-q5740kz-2347","Oil: Supplied","Oil: Final Consumption",3243,
"highcharts-q5740kz-2348","Oil: Supplied","Bunkers",410,
"highcharts-q5740kz-2349","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",318,
"highcharts-q5740kz-2350","BioFuels: Supplied","BioFuels: Final Consumption",3237,
"highcharts-q5740kz-2351","Electricity & Heat: Supplied","Statistical Diff: Secondary",3,
"highcharts-q5740kz-2352","Oil: Supplied","Statistical Diff: Secondary",4,
"highcharts-q5740kz-2353","Electricity & Heat: Supplied","Losses",65,"#808080"
"highcharts-q5740kz-2354","PowerStations","Transformation Losses",695,"#808080"
"highcharts-q5740kz-2355","Oil: Final Consumption","Transport",2681,
"highcharts-q5740kz-2356","Oil: Final Consumption","Manufacturing",268,
"highcharts-q5740kz-2357","Oil: Final Consumption","Households",13,
"highcharts-q5740kz-2358","Oil: Final Consumption","Agriculture",217,
"highcharts-q5740kz-2359","Oil: Final Consumption","Non-Energy use",63,
"highcharts-q5740kz-2360","Electricity & Heat: Final Consumption","Manufacturing",146,
"highcharts-q5740kz-2361","Electricity & Heat: Final Consumption","Households",63,
"highcharts-q5740kz-2362","Electricity & Heat: Final Consumption","Commerce",73,
"highcharts-q5740kz-2363","Electricity & Heat: Final Consumption","N.E.S",36,
"highcharts-q5740kz-2364","BioFuels: Final Consumption","Households",3237,
