"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-q5740kz-2747","Oil Products: Imports","Oil Products",2965,
"highcharts-q5740kz-2748","Electricity: Primary Production","Other Electricity & Heat",70,
"highcharts-q5740kz-2749","BioFuels: Primary Production","BioFuels",840,
"highcharts-q5740kz-2750","BioFuels","Other Transformation",17,
"highcharts-q5740kz-2751","Oil Products","Oil: Supplied",2965,
"highcharts-q5740kz-2752","Other Electricity & Heat","Other Electricity & Heat 3",70,
"highcharts-q5740kz-2753","BioFuels","BioFuels: Supplied",823,
"highcharts-q5740kz-2754","Oil: Supplied","PowerStations",621,
"highcharts-q5740kz-2755","BioFuels: Supplied","PowerStations",8,
"highcharts-q5740kz-2756","PowerStations","Electricity & Heat: Supplied",227,
"highcharts-q5740kz-2757","Other Electricity & Heat 3","Electricity & Heat: Supplied",70,
"highcharts-q5740kz-2758","Oil: Supplied","Oil: Final Consumption",1774,
"highcharts-q5740kz-2759","Oil: Supplied","Bunkers",570,
"highcharts-q5740kz-2760","Electricity & Heat: Supplied","Own Use",7,
"highcharts-q5740kz-2761","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",269,
"highcharts-q5740kz-2762","BioFuels: Supplied","BioFuels: Final Consumption",815,
"highcharts-q5740kz-2763","Electricity & Heat: Supplied","Losses",21,"#808080"
"highcharts-q5740kz-2764","PowerStations","Transformation Losses",402,"#808080"
"highcharts-q5740kz-2765","Oil: Final Consumption","Transport",1619,
"highcharts-q5740kz-2766","Oil: Final Consumption","Households",64,
"highcharts-q5740kz-2767","Oil: Final Consumption","Non-Energy use",91,
"highcharts-q5740kz-2768","Electricity & Heat: Final Consumption","Manufacturing",103,
"highcharts-q5740kz-2769","Electricity & Heat: Final Consumption","Households",93,
"highcharts-q5740kz-2770","Electricity & Heat: Final Consumption","Commerce",69,
"highcharts-q5740kz-2771","Electricity & Heat: Final Consumption","N.E.S",5,
"highcharts-q5740kz-2772","BioFuels: Final Consumption","Households",815,
