"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-u81slsh-3093","Oil Products: Imports","Oil Products",2539,
"highcharts-u81slsh-3094","Electricity: Primary Production","Other Electricity & Heat",19,
"highcharts-u81slsh-3095","BioFuels: Primary Production","BioFuels",25,
"highcharts-u81slsh-3096","BioFuels","Other Transformation",10,
"highcharts-u81slsh-3097","Oil Products","Oil: Supplied",2539,
"highcharts-u81slsh-3098","Other Electricity & Heat","Other Electricity & Heat 3",19,
"highcharts-u81slsh-3099","BioFuels","BioFuels: Supplied",15,
"highcharts-u81slsh-3100","Oil: Supplied","PowerStations",830,
"highcharts-u81slsh-3101","PowerStations","Electricity & Heat: Supplied",232,
"highcharts-u81slsh-3102","Other Electricity & Heat 3","Electricity & Heat: Supplied",19,
"highcharts-u81slsh-3103","Oil: Supplied","Oil: Final Consumption",1288,
"highcharts-u81slsh-3104","Oil: Supplied","Bunkers",421,
"highcharts-u81slsh-3105","Electricity & Heat: Supplied","Own Use",10,
"highcharts-u81slsh-3106","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",170,
"highcharts-u81slsh-3107","BioFuels: Supplied","BioFuels: Final Consumption",15,
"highcharts-u81slsh-3108","Electricity & Heat: Supplied","Losses",72,"#808080"
"highcharts-u81slsh-3109","PowerStations","Transformation Losses",598,"#808080"
"highcharts-u81slsh-3110","Oil: Final Consumption","Transport",1151,
"highcharts-u81slsh-3111","Oil: Final Consumption","N.E.S",45,
"highcharts-u81slsh-3112","Oil: Final Consumption","Non-Energy use",92,
"highcharts-u81slsh-3113","Electricity & Heat: Final Consumption","Manufacturing",57,
"highcharts-u81slsh-3114","Electricity & Heat: Final Consumption","Households",61,
"highcharts-u81slsh-3115","Electricity & Heat: Final Consumption","Commerce",52,
"highcharts-u81slsh-3116","BioFuels: Final Consumption","Households",4,
"highcharts-u81slsh-3117","BioFuels: Final Consumption","N.E.S",11,
