"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-u81slsh-3326","Oil Products: Imports","Oil Products",110,
"highcharts-u81slsh-3327","Electricity: Primary Production","Other Electricity & Heat",2,
"highcharts-u81slsh-3328","Heat: Primary Production","Other Electricity & Heat",16,
"highcharts-u81slsh-3329","BioFuels: Primary Production","BioFuels",1,
"highcharts-u81slsh-3330","Oil Products","Oil: Supplied",110,
"highcharts-u81slsh-3331","Other Electricity & Heat","Other Electricity & Heat 3",18,
"highcharts-u81slsh-3332","BioFuels","BioFuels: Supplied",1,
"highcharts-u81slsh-3333","Oil: Supplied","PowerStations",34,
"highcharts-u81slsh-3334","PowerStations","Electricity & Heat: Supplied",12,
"highcharts-u81slsh-3335","Other Electricity & Heat 3","Electricity & Heat: Supplied",18,
"highcharts-u81slsh-3336","Oil: Supplied","Oil: Final Consumption",51,
"highcharts-u81slsh-3337","Oil: Supplied","Bunkers",21,
"highcharts-u81slsh-3338","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",28,
"highcharts-u81slsh-3339","Electricity & Heat: Supplied","Statistical Diff: Secondary",1,
"highcharts-u81slsh-3340","Oil: Supplied","Statistical Diff: Secondary",4,
"highcharts-u81slsh-3341","Electricity & Heat: Supplied","Losses",2,"#808080"
"highcharts-u81slsh-3342","PowerStations","Transformation Losses",22,"#808080"
"highcharts-u81slsh-3343","Oil: Final Consumption","Transport",44,
"highcharts-u81slsh-3344","Oil: Final Consumption","Manufacturing",2,
"highcharts-u81slsh-3345","Oil: Final Consumption","Households",2,
"highcharts-u81slsh-3346","Oil: Final Consumption","Agriculture",1,
"highcharts-u81slsh-3347","Oil: Final Consumption","Commerce",1,
"highcharts-u81slsh-3348","Electricity & Heat: Final Consumption","Manufacturing",3,
"highcharts-u81slsh-3349","Electricity & Heat: Final Consumption","Households",20,
"highcharts-u81slsh-3350","Electricity & Heat: Final Consumption","Commerce",5,
