"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-u81slsh-3355","Primary Oil: Production","Primary Oil",33798,
"highcharts-u81slsh-3356","Primary Oil: Imports","Primary Oil",61250,
"highcharts-u81slsh-3357","Oil Products: Imports","Oil Products",46599,
"highcharts-u81slsh-3358","Natural Gas: Primary Production","Natural Gas",473611,
"highcharts-u81slsh-3359","Electricity: Primary Production","Other Electricity & Heat",3884,
"highcharts-u81slsh-3360","Heat: Primary Production","Other Electricity & Heat",14400,
"highcharts-u81slsh-3361","BioFuels: Primary Production","BioFuels",70047,
"highcharts-u81slsh-3362","Statistical Diff","Natural Gas",84,"#4747FF"
"highcharts-u81slsh-3363","Statistical Diff","Primary Oil",1480,"#121212"
"highcharts-u81slsh-3364","Primary Oil","Oil Refineries",62266,
"highcharts-u81slsh-3365","Primary Oil","Stock Build",2538,
"highcharts-u81slsh-3366","BioFuels","Other Transformation",256,
"highcharts-u81slsh-3367","Oil Refineries","Oil: Supplied",58866,
"highcharts-u81slsh-3368","Oil Products","Oil: Supplied",46599,
"highcharts-u81slsh-3369","Stock Changes: Sec 2","Oil: Supplied",1256,"#121212"
"highcharts-u81slsh-3370","Statistical Diff: Sec 2","Oil: Supplied",4103,"#121212"
"highcharts-u81slsh-3371","Natural Gas","Natural Gas: Supplied",35421,
"highcharts-u81slsh-3372","Other Electricity & Heat","Other Electricity & Heat 3",3884,
"highcharts-u81slsh-3373","BioFuels","BioFuels: Supplied",69791,
"highcharts-u81slsh-3374","Oil: Supplied","PowerStations",26251,
"highcharts-u81slsh-3375","Natural Gas: Supplied","PowerStations",10090,
"highcharts-u81slsh-3376","Other Electricity & Heat 3","PowerStations",14400,
"highcharts-u81slsh-3377","BioFuels: Supplied","PowerStations",84,
"highcharts-u81slsh-3378","PowerStations","Electricity & Heat: Supplied",26629,
"highcharts-u81slsh-3379","Statistical Diff: Sec 2","Electricity & Heat: Supplied",1671,"#121212"
"highcharts-u81slsh-3380","Other Electricity & Heat 3","Electricity & Heat: Supplied",3884,
"highcharts-u81slsh-3381","Oil: Supplied","Oil: Final Consumption",52670,
"highcharts-u81slsh-3382","Oil: Supplied","Bunkers",2889,
"highcharts-u81slsh-3383","Natural Gas: Supplied","Own Use",25330,
"highcharts-u81slsh-3384","Electricity & Heat: Supplied","Own Use",778,
"highcharts-u81slsh-3385","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",15709,
"highcharts-u81slsh-3386","BioFuels: Supplied","BioFuels: Final Consumption",69707,
"highcharts-u81slsh-3387","Oil: Supplied","Statistical Diff: Secondary",42,
"highcharts-u81slsh-3388","Oil: Supplied","Exports: Secondary",28972,
"highcharts-u81slsh-3389","Exports","Export 6",469999,
"highcharts-u81slsh-3390","Primary Oil","Exports",31725,
"highcharts-u81slsh-3391","Natural Gas","Exports",438274,
"highcharts-u81slsh-3392","Electricity & Heat: Supplied","Losses",1298,"#808080"
"highcharts-u81slsh-3393","PowerStations","Transformation Losses",38596,"#808080"
"highcharts-u81slsh-3394","Oil: Final Consumption","Transport",21688,
"highcharts-u81slsh-3395","Oil: Final Consumption","Manufacturing",24158,
"highcharts-u81slsh-3396","Oil: Final Consumption","Households",1507,
"highcharts-u81slsh-3397","Oil: Final Consumption","Agriculture",4270,
"highcharts-u81slsh-3398","Oil: Final Consumption","Commerce",1047,
"highcharts-u81slsh-3399","Electricity & Heat: Final Consumption","Manufacturing",11525,
"highcharts-u81slsh-3400","Electricity & Heat: Final Consumption","Households",3556,
"highcharts-u81slsh-3401","Electricity & Heat: Final Consumption","Agriculture",251,
"highcharts-u81slsh-3402","Electricity & Heat: Final Consumption","Commerce",377,
"highcharts-u81slsh-3403","BioFuels: Final Consumption","Manufacturing",2903,
"highcharts-u81slsh-3404","BioFuels: Final Consumption","Households",56773,
"highcharts-u81slsh-3405","BioFuels: Final Consumption","Commerce",10031,
