"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-u81slsh-3410","Oil Products: Imports","Oil Products",3673,
"highcharts-u81slsh-3411","Electricity: Primary Production","Other Electricity & Heat",236,
"highcharts-u81slsh-3412","Heat: Primary Production","Other Electricity & Heat",3,
"highcharts-u81slsh-3413","BioFuels: Primary Production","BioFuels",1465,
"highcharts-u81slsh-3414","BioFuels","Other Transformation",14,
"highcharts-u81slsh-3415","Oil Products","Oil: Supplied",3673,
"highcharts-u81slsh-3416","Stock Changes: Sec 2","Oil: Supplied",118,"#121212"
"highcharts-u81slsh-3417","Statistical Diff: Sec 2","Oil: Supplied",2,"#121212"
"highcharts-u81slsh-3418","Other Electricity & Heat","Other Electricity & Heat 3",239,
"highcharts-u81slsh-3419","BioFuels","BioFuels: Supplied",1451,
"highcharts-u81slsh-3420","Oil: Supplied","PowerStations",1010,
"highcharts-u81slsh-3421","BioFuels: Supplied","PowerStations",1,
"highcharts-u81slsh-3422","PowerStations","Electricity & Heat: Supplied",385,
"highcharts-u81slsh-3423","Other Electricity & Heat 3","Electricity & Heat: Supplied",239,
"highcharts-u81slsh-3424","Oil: Supplied","Oil: Final Consumption",2546,
"highcharts-u81slsh-3425","Oil: Supplied","Bunkers",219,
"highcharts-u81slsh-3426","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",567,
"highcharts-u81slsh-3427","BioFuels: Supplied","BioFuels: Final Consumption",1451,
"highcharts-u81slsh-3428","Oil: Supplied","Exports: Secondary",18,
"highcharts-u81slsh-3429","Electricity & Heat: Supplied","Losses",57,"#808080"
"highcharts-u81slsh-3430","PowerStations","Transformation Losses",626,"#808080"
"highcharts-u81slsh-3431","Oil: Final Consumption","Transport",1884,
"highcharts-u81slsh-3432","Oil: Final Consumption","Manufacturing",215,
"highcharts-u81slsh-3433","Oil: Final Consumption","Households",140,
"highcharts-u81slsh-3434","Oil: Final Consumption","Agriculture",35,
"highcharts-u81slsh-3435","Oil: Final Consumption","Commerce",151,
"highcharts-u81slsh-3436","Oil: Final Consumption","Non-Energy use",121,
"highcharts-u81slsh-3437","Electricity & Heat: Final Consumption","Manufacturing",35,
"highcharts-u81slsh-3438","Electricity & Heat: Final Consumption","Households",171,
"highcharts-u81slsh-3439","Electricity & Heat: Final Consumption","Commerce",362,
"highcharts-u81slsh-3440","BioFuels: Final Consumption","Households",1445,
"highcharts-u81slsh-3441","BioFuels: Final Consumption","Agriculture",6,
