"Category"," (from)"," (to)"," (weight)"," (color)"
"highcharts-u81slsh-3479","Oil Products: Imports","Oil Products",1987,
"highcharts-u81slsh-3480","Electricity: Primary Production","Other Electricity & Heat",34,
"highcharts-u81slsh-3481","BioFuels: Primary Production","BioFuels",19,
"highcharts-u81slsh-3482","BioFuels","Other Transformation",6,
"highcharts-u81slsh-3483","Oil Products","Oil: Supplied",1987,
"highcharts-u81slsh-3484","Stock Changes: Sec 2","Oil: Supplied",638,"#121212"
"highcharts-u81slsh-3485","Other Electricity & Heat","Other Electricity & Heat 3",34,
"highcharts-u81slsh-3486","BioFuels","BioFuels: Supplied",13,
"highcharts-u81slsh-3487","Oil: Supplied","PowerStations",610,
"highcharts-u81slsh-3488","PowerStations","Electricity & Heat: Supplied",230,
"highcharts-u81slsh-3489","Other Electricity & Heat 3","Electricity & Heat: Supplied",34,
"highcharts-u81slsh-3490","Oil: Supplied","Oil: Final Consumption",1997,
"highcharts-u81slsh-3491","Oil: Supplied","Bunkers",18,
"highcharts-u81slsh-3492","Electricity & Heat: Supplied","Own Use",8,
"highcharts-u81slsh-3493","Electricity & Heat: Supplied","Electricity & Heat: Final Consumption",235,
"highcharts-u81slsh-3494","BioFuels: Supplied","BioFuels: Final Consumption",12,
"highcharts-u81slsh-3495","Electricity & Heat: Supplied","Losses",21,"#808080"
"highcharts-u81slsh-3496","PowerStations","Transformation Losses",380,"#808080"
"highcharts-u81slsh-3497","Oil: Final Consumption","Transport",1875,
"highcharts-u81slsh-3498","Oil: Final Consumption","Households",121,
"highcharts-u81slsh-3499","Oil: Final Consumption","Non-Energy use",2,
"highcharts-u81slsh-3500","Electricity & Heat: Final Consumption","Households",86,
"highcharts-u81slsh-3501","Electricity & Heat: Final Consumption","Commerce",76,
"highcharts-u81slsh-3502","Electricity & Heat: Final Consumption","N.E.S",73,
"highcharts-u81slsh-3503","BioFuels: Final Consumption","Households",12,
