"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10106,"Other Animals",292608
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",52287
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",30724964
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",284908
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",101252.99999999999
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",3228
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",289260
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",47060
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",8416
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",73052
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",1985
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",20726.999999999996
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21203,"Copra",808073
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21208,"Oil Seed Flower",575264
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",465026
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31504,"Fish Oil",40848
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31511,"Palm Oil",22841319
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31513,"Coconut Oil",8842556
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31519,"Stearic Acid",57886
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,"Processed Fish",65103865
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,"Processed Crustaceans",3004569
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41801,"Cocoa Beans",8941129
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",958
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",1696
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42201,"Water",93.00000000000001
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42203,"Beer",527
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",159
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42301,"Animal Meal and Pellets",983323
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42309,"Animal Food",422856
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42402,"Rolled Tobacco",255548
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52503,"Sulphur",10350
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52508,"Clays",226
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52513,"Pumice",337
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52530,"Other Mineral",33
5,"Mineral Products",526,"Ores, slag and ash",52606,"Aluminium Ore",51986686.99999999
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",925.9999999999999
6,"Chemical Products",630,"Pharmaceutical products",63002,"Blood, antisera, vaccines, toxins and cultures",3346
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",13723
6,"Chemical Products",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63215,"Ink",442.99999999999994
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63302,"Scented Mixtures",17
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",3628.0000000000005
6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63401,"Soap",54270
6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63405,"Polishes and Creams",437.99999999999994
6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63506,"Glues",4428.999999999999
6,"Chemical Products",637,"Photographic or cinematographic goods",63703,"Photographic Paper",12117
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",10790
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73907,"Polyacetals",115064
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73917,"Plastic Pipes",4256
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73919,"Self-adhesive Plastics",1225
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73924,"Plastic Housewares",111
7,"Plastics and Rubbers",739,"Plastics and articles thereof",73926,"Other Plastic Products",374
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74009,"Rubber Pipes",2090
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74010,"Rubber Belting",47
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74011,"Rubber Tires",353565
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74013,"Rubber Inner Tubes",11977
7,"Plastics and Rubbers",740,"Rubber and articles thereof",74016,"Other Rubber Products",889
8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84202,"Trunks and Cases",8932
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94402,"Wood Charcoal",3732.9999999999995
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94403,"Rough Wood",419219528
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94407,"Sawn Wood",8363756
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94408,"Veneer Sheets",6044165
9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94409,"Shaped Wood",190750.99999999997
