"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",401479
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",2441820
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",529221
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",311596
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",26934
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",10437589
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",53755
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",16626
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",138413
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",125092
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",12400180.999999998
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",34570
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",7438
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",196046
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",54130
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",594979
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",2986969
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",62921
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",32359
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",516844
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",452350
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",330116
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",86
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",153
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",7195
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",49
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",2151
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",55270.99999999999
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",982
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",594167
