Country / Territory,Political Status,Land area (km2),Population,Area per person (m2),Population density (Person/km2),GDP Per Capita ($),Geographic Type,No. islands,No. inhab. island
American Samoa,US territory,240,"45,443","5,176",193,14480,High islands + atolls,7,6
Cook Islands,Independent. NZ-affiliated,180,"17,459","10,310",97,16700,High islands + atolls,15,13
Micronesia,Independent. US-affiliated,702,"104,468","6,720",149,3500,High islands + atolls,607,65
Fiji,Independent,"18,376","929,276","19,775",51,11000,High islands + atolls,330,110
French Polynesia,French Territory,"3,521","275,918","12,761",78,17000,High islands + atolls,118,67
Guam,US territory,549,"168,801","3,252",307,35600,High islands,1,1
Kiribati,Independent,726,"119,000","6,101",164,2300,Atolls,33,21
Marshall Islands,Independent. US-affiliated,720,"58,413","12,326",81,4000,Atolls,34,24
Nauru,Independent,21,"10,670","1,968",508,13500,Raised coral island,1,1
Niue,Independent. NZ-affiliated,258,"1,620","159,259",6,5800,Raised coral island,1,1
Palau,Independent. US-affiliated,475,"17,907","26,526",38,17600,High islands + atolls,1,1
PNG,Independent,"461,690","8,935,000","51,672",19,4200,High islands + atolls,600,No data
Solomon Islands,Independent,"29,785","652,857","45,623",22,2500,High islands + atolls,992,347
Tokelau,NZ territory,12,"1,500","8,000",125,60004,Atolls,3,3
Tonga,Independent,696,"100,651","6,915",145,6400,High islands,169,36
Tuvalu,Independent,26,"11,646","2,233",448,4400,Atolls,9,8
Vanuatu,Independent,"12,189","307,815","39,598",25,2800,High islands + atolls,83,65
Samoa,Independent,"2,934","202,506","14,488",69,6300,High islands,12,4
New Caledonia,French Territory,"18,275","297,160","61,499",16,31100,No Data,55,No data
