"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",122000
1,"Animal Products",101,"Live animals",10105,"Poultry",136044
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",5592.000000000001
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2520747
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",110914
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",5699767
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",6641
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",7093874
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",39152
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10303,"Non-fillet Frozen Fish",3134505
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10304,"Fish Fillets",13256
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10305,"Fish: dried, salted, smoked or in brine",17403
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10306,"Crustaceans",142329
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10307,"Molluscs",24201
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2398978.0000000005
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",1258725
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",108294
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",1997638
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",652308
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",413505
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2334
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",461
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2877
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",100
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",15051
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",476.00000000000006
