"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",617
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",3037
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",29185.999999999996
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",288433
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",11.000000000000002
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",806652
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",914
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",125675
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",5448
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",665
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",18983
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",134570
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",43493
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",3570
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",64141
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",31236
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",38
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",43106
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",26162
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",1689
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",17704
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",5
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",1689
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",4448
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",14933
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",99
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",473
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",15066
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",143
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",5
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",18
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",27434
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",10344
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",119
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",87083
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",36.00000000000001
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",41040
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",22318
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",146
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",132
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",77
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",22.000000000000004
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",33979
2,"Vegetable Products",210,"Cereals",21006,"Rice",280119
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",138174
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",2053
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",11407
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",5084
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",5037
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",1804.0000000000002
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,"Wheat Gluten",33
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",10
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",3459
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",32475
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31507,"Soybean Oil",18375
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31515,"Other Pure Vegetable Oils",898
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31517,"Margarine",61702
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41601,"Sausages",83221
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41602,"Other Prepared Meat",307644
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,"Processed Fish",162846
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,"Processed Crustaceans",3292
4,"Foodstuffs",417,"Sugars and sugar confectionery",41701,"Raw Sugar",149466
4,"Foodstuffs",417,"Sugars and sugar confectionery",41702,"Other Sugars",579
4,"Foodstuffs",417,"Sugars and sugar confectionery",41704,"Confectionery Sugar",47495
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41805,"Cocoa Powder",1384.0000000000002
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41806,"Chocolate",46328
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41901,"Malt Extract",8241
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41902,"Pasta",108381.00000000001
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41904,"Prepared Cereals",81202
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,"Baked Goods",309379
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42001,"Pickled Foods",2085
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42002,"Processed Tomatoes",427
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42003,"Processed Mushrooms",162
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42004,"Other Frozen Vegetables",14966
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,"Other Processed Vegetables",22171
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,"Jams",5566.999999999999
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",41557
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",66292
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",4601
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",12081
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",71817
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",491
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",95507
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",375809
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42201,"Water",66766
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42202,"Flavored Water",220152
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42203,"Beer",39996
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",43052.99999999999
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42207,"Alcohol > 80% ABV",4642
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",74550
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42209,"Vinegar",656
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42302,"Bran",79691
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42309,"Animal Food",8166
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42402,"Rolled Tobacco",459130
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42403,"Processed Tobacco",30381.999999999996
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52501,"Salt",19309
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52505,"Sand",144773
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52508,"Clays",423722
