"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10106,"Other Animals",59.00000000000001
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",223557.00000000003
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",323586
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",36389
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",358097
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",92305820
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",5809076
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",2841
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",8906630
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",23048
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",564
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",86723
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",225288
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",49200
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",271
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",10255.999999999998
2,"Vegetable Products",210,"Cereals",21006,"Rice",26.000000000000004
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21202,"Ground Nuts",65448.00000000001
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21203,"Copra",7091655
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21208,"Oil Seed Flower",184808
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",15019602
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21212,"Locust beans, seaweed, sugar beet, cane, for food",31316.999999999996
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21302,"Vegetable Saps",6854
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31509,"Pure Olive Oil",3668.9999999999995
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31513,"Coconut Oil",1357269
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31515,"Other Pure Vegetable Oils",165500
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41601,"Sausages",33
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41801,"Cocoa Beans",2972945
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41806,"Chocolate",45362
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41902,"Pasta",90
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41904,"Prepared Cereals",7819
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,"Baked Goods",4475
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42006,"Sugar Preserved Foods",30
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,"Jams",1025
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",3216
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",212
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",726
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",390877
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",3028
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42201,"Water",6361.000000000001
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42203,"Beer",105
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42306,"Other Vegetable Residues",377097
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42309,"Animal Food",1618
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42402,"Rolled Tobacco",42935
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52501,"Salt",3063.9999999999995
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",581
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",391
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",27262.000000000004
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",915.9999999999999
6,"Chemical Products",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63215,"Ink",4016.9999999999995
