"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10105,"Poultry",46206
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",74895
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",150055
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",224604
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",127055
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",16835
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",7722506
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",202680
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",3148.9999999999995
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",1233
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",581072
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",86154
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",4965
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",237527.99999999997
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",84358
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1386095
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1374036
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",66847
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",15281.999999999998
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",415779
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",694813
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",346487
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",553.9999999999999
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",6766
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",5430
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",208.00000000000003
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",2711.9999999999995
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",213719.00000000003
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",36217
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",545457
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",70467
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",2284
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",175341
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",3394.0000000000005
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",1708
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",92152
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",98688
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",2918
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",5704
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",25721
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",2076
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",15566
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",280
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",1587
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",136199
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",74140
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",3424
