Country,Vatu-Small res,Vatu-res,Vatu-Business,rate,small res,res,Business
Fiji,636,4848,228536,0.009,0.0954,0.14544,0.2056824
Vanuatu VUI,1108,14689,609830,,0.1662,0.44067,0.548847
Vanuatu UNELCO,1180,21948,618766,,0.177,0.65844,0.5568894
Nauru,1262,8411,588789,,0.1893,0.25233,0.5299101
Micronesia-Pohnpei,1369,5079,224710,,0.20535,0.15237,0.202239
Palau,1559,7698,337684,,0.23385,0.23094,0.3039156
Tuvalu,1606,12876,494583,,0.2409,0.38628,0.4451247
Saipan,1702,5567,283019,,0.2553,0.16701,0.2547171
Tonga,1740,12364,412120,,0.261,0.37092,0.370908
Tahiri,1758,9156,467030,,0.2637,0.27468,0.420327
French Polynesia,1771,10562,470992,,0.26565,0.31686,0.4238928
Western Samoa,1908,9539,359795,,0.2862,0.28617,0.3238155
PNG,2026,9465,361700,,0.3039,0.28395,0.32553
Marshall Islands,2183,10916,426968,,0.32745,0.32748,0.3842712
Kiribati,2195,15266,647668,,0.32925,0.45798,0.5829012
Average,2326,12627,485693,,0.3489,0.37881,0.4371237
American Samoa,2612,10538,374922,,0.3918,0.31614,0.3374298
Micronesia-Yap Island,2683,14072,577224,,0.40245,0.42216,0.5195016
Micronesia-Kosrae,2745,14565,519408,,0.41175,0.43695,0.4674672
Guam,2759,7486,231188,,0.41385,0.22458,0.2080692
Cook Islands,2803,16601,679114,,0.42045,0.49803,0.6112026
Micronesia-Chuuk,3105,16520,572763,,0.46575,0.4956,0.5154867
New Caledonia,3259,12687,347902,,0.48885,0.38061,0.3131118
Niue,3449,14179,534584,,0.51735,0.42537,0.4811256
Solomon Islands,3554,15847,486277,,0.5331,0.47541,0.4376493
Micronesia-Falalop,7172,34806,1257032,,1.0758,1.04418,1.1313288
